βρετανικές/ADJ,μηχανοκίνητες/ADJ,δυνάμεις/NOUN
αλύτρωτη/ADJ,μακεδονική/ADJ,εθνότητα/NOUN
αντίστοιχου/ADJ,χρηματικού/ADJ,ποσού/NOUN
πολλά/ADJ,αποδημητικά/ADJ,πουλιά/NOUN
Ευρωπαϊκή/ADJ,Εθελοντική/ADJ,Υπηρεσία/NOUN
οδικών/ADJ,εμπορευματικών/ADJ,μεταφορών/NOUN
ανεπαρκή/ADJ,εθνική/ADJ,πολιτική/NOUN
φετινή/ADJ,εποχική/ADJ,γρίπη/NOUN
σταθερή/ADJ,οικονομική/ADJ,ανάκαμψη/NOUN
μεγαλύτερη/ADJ,θρησκευτική/ADJ,ελευθερία/NOUN
αποτελεσματικό/ADJ,βραχυπρόθεσμο/ADJ,πλαίσιο/NOUN
υπόλοιπες/ADJ,δυτικές/ADJ,χώρες/NOUN
ειδικούς/ADJ,τομεακούς/ADJ,κανόνες/NOUN
αμφισβητούμενη/ADJ,θαλάσσια/ADJ,περιοχή/NOUN
ιαπωνικές/ADJ,αεροπορικές/ADJ,εταιρείες/NOUN
βόρεια/ADJ,συνοριακή/ADJ,γραμμή/NOUN
βόρεια/ADJ,συνοριακή/ADJ,γραμμή/NOUN
διεθνές/ADJ,τουριστικό/ADJ,κέντρο/NOUN
παλιούς/ADJ,αγγλικούς/ADJ,στρατώνες/NOUN
εντυπωσιακά/ADJ,βενετσιάνικα/ADJ,σιντριβάνια/NOUN
συνεχείς/ADJ,πειρατικές/ADJ,επιδρομές/NOUN
ανώτατων/ADJ,εκπαιδευτικών/ADJ,ιδρυμάτων/NOUN
στρατηγική/ADJ,εταιρική/ADJ,σχέση/NOUN
κοινοτικό/ADJ,θεσμικό/ADJ,όργανο/NOUN
ξύλινη/ADJ,κινητή/ADJ,γέφυρα/NOUN
ειδικών/ADJ,τομεακών/ADJ,κανόνων/NOUN
ειδικούς/ADJ,τομεακούς/ADJ,κανόνες/NOUN
νέο/ADJ,ρυθμιστικό/ADJ,καθεστώς/NOUN
ειδικών/ADJ,τομεακών/ADJ,κανόνων/NOUN
Ανεξάρτητου/ADJ,Ελληνικού/ADJ,Κράτους/NOUN
Λαϊκός/ADJ,Απελευθερωτικός/ADJ,Στρατός/NOUN
ελληνικής/ADJ,ναυτικής/ADJ,μοίρας/NOUN
πολλές/ADJ,ευρωπαϊκές/ADJ,πρωτεύουσες/NOUN
άτυχο/ADJ,Ελληνοτουρκικό/ADJ,πόλεμο/NOUN
μόνη/ADJ,σωστή/ADJ,λύση/NOUN
ακραία/ADJ,καιρικά/ADJ,φαινόμενα/NOUN
ακραία/ADJ,καιρικά/ADJ,φαινόμενα/NOUN
Εθνική/ADJ,Μετεωρολογική/ADJ,Υπηρεσία/NOUN
μελλοντικού/ADJ,παλαιστινιακού/ADJ,κράτους/NOUN
μελλοντικών/ADJ,ειρηνευτικών/ADJ,διαδικασιών/NOUN
απότακτους/ADJ,Έλληνες/ADJ,αξιωματικούς/NOUN
διερχόμενα/ADJ,εμπορικά/ADJ,πλοία/NOUN
Διεθνές/ADJ,Ποινικό/ADJ,Δικαστήριο/NOUN
ευρείας/ADJ,διεθνούς/ADJ,συμμαχίας/NOUN
ορισμένες/ADJ,αφρικανικές/ADJ,χώρες/NOUN
Απλουστευτικές/ADJ,ενιαίες/ADJ,λύσεις/NOUN
ευρωπαϊκό/ADJ,κοινωνικό/ADJ,πρότυπο/NOUN
συμφωνηθείσα/ADJ,προενταξιακή/ADJ,στρατηγική/NOUN
παρόντος/ADJ,κυβερνητικού/ADJ,συνασπισμού/NOUN
τουρκικού/ADJ,συνταγματικού/ADJ,δικαστηρίου/NOUN
νέα/ADJ,νομοθετική/ADJ,πράξη/NOUN
σχετικές/ADJ,νομοθετικές/ADJ,πρωτοβουλίες/NOUN
καθημερινή/ADJ,κοινωνική/ADJ,συνύπαρξη/NOUN
συγκεκριμένη/ADJ,χρονική/ADJ,περίοδο/NOUN
συγκεκριμένη/ADJ,χρονική/ADJ,περίοδο/NOUN
καρκινογόνο/ADJ,χρωστική/ADJ,ουσία/NOUN
Συριακής/ADJ,Ερυθράς/ADJ,Ημισελήνου/NOUN
διεθνής/ADJ,ανθρωπιστική/ADJ,οργάνωση/NOUN
τελευταία/ADJ,στατιστικά/ADJ,στοιχεία/NOUN
υφισταμένη/ADJ,νομική/ADJ,βάση/NOUN
νέας/ADJ,νομικής/ADJ,βάσης/NOUN
νέο/ADJ,επιστημονικό/ADJ,πρόγραμμα/NOUN
ανώτερα/ADJ,κοινωνικά/ADJ,στρώματα/NOUN
κατώτερα/ADJ,κοινωνικά/ADJ,στρώματα/NOUN
εσωτερικών/ADJ,πολιτικών/ADJ,συσχετισμών/NOUN
Διεθνή/ADJ,Ολυμπιακή/ADJ,Επιτροπή/NOUN
περισσότερα/ADJ,πέτρινα/ADJ,κτίρια/NOUN
περισσοτέρων/ADJ,μεσαιωνικών/ADJ,κτισμάτων/NOUN
πραγματική/ADJ,προστιθέμενη/ADJ,αξία/NOUN
βασικές/ADJ,αρνητικές/ADJ,επιδράσεις/NOUN
συναφών/ADJ,ισχυουσών/ADJ,συμφωνιών/NOUN
απλές/ADJ,κατευθυντήριες/ADJ,γραμμές/NOUN
κοινοτικής/ADJ,αντιτρομοκρατικής/ADJ,πολιτικής/NOUN
Ευρωπαϊκής/ADJ,Κεντρικής/ADJ,Τράπεζας/NOUN
περισσότερη/ADJ,κοινωνική/ADJ,συνοχή/NOUN
περισσότερη/ADJ,πλήρης/ADJ,απασχόληση/NOUN
αποτελεσματική/ADJ,διασυνοριακή/ADJ,συνεργασία/NOUN
Νέο/ADJ,διπλωματικό/ADJ,επεισόδιο/NOUN
Νέο/ADJ,διπλωματικό/ADJ,επεισόδιο/NOUN
ιαπωνικό/ADJ,πολεμικό/ADJ,πλοίο/NOUN
εθνικό/ADJ,υδρολογικό/ADJ,σχέδιο/NOUN
υπόλοιπες/ADJ,πολιτικές/ADJ,ομάδες/NOUN
ανώτατες/ADJ,δυνατές/ADJ,τιμές/NOUN
Ευρωπαϊκό/ADJ,Δικαστικό/ADJ,Δίκτυο/NOUN
σοβιετικό/ADJ,ομοσπονδιακό/ADJ,ζυγό/NOUN
βαθύτερη/ADJ,οικονομική/ADJ,πραγματικότητα/NOUN
ορισμένες/ADJ,ελάχιστες/ADJ,προδιαγραφές/NOUN
πρόσθετο/ADJ,γραφειοκρατικό/ADJ,εμπόδιο/NOUN
καλύτερης/ADJ,δυνατής/ADJ,τιμής/NOUN
καλύτερων/ADJ,δημόσιων/ADJ,υπηρεσιών/NOUN
ισχύοντες/ADJ,εθνικούς/ADJ,κανόνες/NOUN
διεθνείς/ADJ,οδικές/ADJ,μεταφορές/NOUN
κοσμικού/ADJ,εθνικού/ADJ,χαρακτήρα/NOUN
γραφικό/ADJ,κυκλαδίτικο/ADJ,νησί/NOUN
ελληνικής/ADJ,δημόσιας/ADJ,τηλεόρασης/NOUN
πλούσια/ADJ,πολιτιστική/ADJ,κληρονομιά/NOUN
γενικότερα/ADJ,περιβαλλοντικά/ADJ,μελήματα/NOUN
εφαρμοστέους/ADJ,κοινωνικούς/ADJ,κανόνες/NOUN
εφαρμοστέες/ADJ,κοινωνικές/ADJ,υποχρεώσεις/NOUN
συντηρητικές/ADJ,νότιες/ADJ,πολιτείες/NOUN
περισσότερες/ADJ,εκλεκτορικές/ADJ,ψήφους/NOUN
αιγυπτιακά/ADJ,ειδησεογραφικά/ADJ,πρακτορεία/NOUN
ευρωπαϊκού/ADJ,οικονομικού/ADJ,χώρου/NOUN
σημαντική/ADJ,τουριστική/ADJ,ανάπτυξη/NOUN
πολλές/ADJ,ολονύκτιες/ADJ,συζητήσεις/NOUN
νέες/ADJ,υποψήφιες/ADJ,χώρες/NOUN
επονομαζόμενης/ADJ,ανοιχτής/ADJ,διαδικασίας/NOUN
βραχυπρόθεσμης/ADJ,διακρατικής/ADJ,συνεργασίας/NOUN
νέες/ADJ,φλεγόμενες/ADJ,ζώνες/NOUN
κοινή/ADJ,εξωτερική/ADJ,πολιτική/NOUN
ορισμένους/ADJ,μεσολαβητικούς/ADJ,κύκλους/NOUN
διάφορους/ADJ,παράλληλους/ADJ,δρόμους/NOUN
μεγάλη/ADJ,χρονική/ADJ,περίοδο/NOUN
τεράστιους/ADJ,ιστορικούς/ADJ,δεσμούς/NOUN
ανοιχτού/ADJ,εκλογικού/ADJ,αγώνα/NOUN
Ευρωπαϊκής/ADJ,Ελεύθερης/ADJ,Συμμαχίας/NOUN
συγκεκριμένων/ADJ,δικαστικών/ADJ,προτύπων/NOUN
ίδια/ADJ,σχετική/ADJ,κατανομή/NOUN
αμερικανικό/ADJ,τηλεοπτικό/ADJ,δίκτυο/NOUN
Ανώτατο/ADJ,Δικαστικό/ADJ,Συμβούλιο/NOUN
τακτική/ADJ,συνεχή/ADJ,κατάρτιση/NOUN
κατάλληλο/ADJ,νομικό/ADJ,μέσο/NOUN
Εθνικό/ADJ,Θαλάσσιο/ADJ,Πάρκο/NOUN
ευάλωτων/ADJ,κοινωνικών/ADJ,ομάδων/NOUN
γραπτές/ADJ,νομικές/ADJ,εγγυήσεις/NOUN
σημερινής/ADJ,Παγκόσμιας/ADJ,Ημέρας/NOUN
πολλά/ADJ,ανάλογα/ADJ,παραδείγματα/NOUN
συγκεκριμένη/ADJ,χρονική/ADJ,στιγμή/NOUN
