Săraca/ADJ,găină/NOUN,sură/ADJ
cronică/NOUN,dramatică/ADJ,nesemnată/ADJ
cântecelor/NOUN,epice/ADJ,versificate/ADJ
trăire/NOUN,religioasă/ADJ,profundă/ADJ
rusticelor/ADJ,localități/NOUN,italiene/ADJ
obiect/NOUN,matematic/ADJ,geometric/ADJ
ușa/NOUN,vecină/ADJ,închisă/ADJ
elemente/NOUN,sociale/ADJ,identice/ADJ
țară/NOUN,capitalistă/ADJ,înaintată/ADJ
Singură/ADJ,specia/NOUN,umană/ADJ
Substanțe/NOUN,active/ADJ,nemetabolizate/ADJ
suficiente/ADJ,globule/NOUN,roșii/ADJ
concentrațiile/NOUN,plasmatice/ADJ,maxime/ADJ
cancer/NOUN,pancreatic/ADJ,avansat/ADJ
concentrațiile/NOUN,plasmatice/ADJ,maxime/ADJ
analog/NOUN,nucleozidic/ADJ,monofosfat/ADJ
polițiști/NOUN,palestinieni/ADJ,nemulțumiți/ADJ
eforturile/NOUN,diplomatice/ADJ,americane/ADJ
amplasamentele/NOUN,istorice/ADJ,scoțiene/ADJ
piese/NOUN,scurte/ADJ,istorice/ADJ
sprijinului/NOUN,militar/ADJ,extern/ADJ
nou/ADJ,comitet/NOUN,consultativ/ADJ
legislației/NOUN,bancare/ADJ,comunitare/ADJ
Comitetul/NOUN,bancar/ADJ,european/ADJ
Comitetului/NOUN,bancar/ADJ,european/ADJ
Comitetul/NOUN,bancar/ADJ,european/ADJ
acordurile/NOUN,bilaterale/ADJ,respective/ADJ
țări/NOUN,terțe/ADJ,participante/ADJ
clauzele/NOUN,contractuale/ADJ,abuzive/ADJ
noii/ADJ,Fortărețe/NOUN,Plutitoare/ADJ
sistemul/NOUN,european/ADJ,comun/ADJ
adevăratele/ADJ,pensii/NOUN,alimentare/ADJ
tratamentul/NOUN,antispastic/ADJ,singur/ADJ
scara/NOUN,terapeutică/ADJ,antalgică/ADJ
diferite/ADJ,antalgice/NOUN,disponibile/ADJ
sistemului/NOUN,nervos/ADJ,central/ADJ
regiunii/NOUN,geografice/ADJ,românești/ADJ
statului/NOUN,Român/ADJ,modern/ADJ
Statul/NOUN,modern/ADJ,român/ADJ
flux/NOUN,energetic/ADJ,radiant/ADJ
fostului/ADJ,președinte/NOUN,iugoslav/ADJ
Tribunalul/NOUN,Penal/ADJ,Internațional/ADJ
mari/ADJ,pagube/NOUN,materiale/ADJ
hotărârile/NOUN,administrative/ADJ,adoptate/ADJ
lideri/NOUN,religioși/ADJ,șiiți/ADJ
orașul/NOUN,sfânt/ADJ,musulman/ADJ
stat/NOUN,palestinian/ADJ,independent/ADJ
produsele/NOUN,chimice/ADJ,industriale/ADJ
produse/NOUN,chimice/ADJ,industriale/ADJ
teritoriul/NOUN,vamal/ADJ,comunitar/ADJ
teritoriul/NOUN,vamal/ADJ,comunitar/ADJ
integrare/NOUN,economică/ADJ,regională/ADJ
reprezentare/NOUN,comunitară/ADJ,corespunzătoare/ADJ
păr/NOUN,negru/ADJ,bogat/ADJ
Autoritatea/NOUN,națională/ADJ,desemnată/ADJ
eșarfă/NOUN,roșie/ADJ,îngustă/ADJ
pompoasa/ADJ,fală/NOUN,latină/ADJ
formule/NOUN,poetice/ADJ,variate/ADJ
întreagă/ADJ,tradiție/NOUN,exegetică/ADJ
matca/NOUN,spirituală/ADJ,românească/ADJ
viața/NOUN,academică/ADJ,românească/ADJ
simplu/ADJ,corpus/NOUN,juridic/ADJ
doza/NOUN,inițială/ADJ,recomandată/ADJ
Următoarele/ADJ,reacții/NOUN,adverse/ADJ
neovascularizare/NOUN,coroidiană/ADJ,submaculară/ADJ
eventuale/ADJ,modificări/NOUN,pulmonare/ADJ
ciocolata/NOUN,amăruie/ADJ,simplă/ADJ
boli/NOUN,cerebrovasculare/ADJ,severe/ADJ
teatrul/NOUN,regal/ADJ,georgian/ADJ
departament/NOUN,mare/ADJ,metropolitan/ADJ
alegeri/NOUN,democratice/ADJ,regionale/ADJ
Partidului/NOUN,Laburist/ADJ,Independent/ADJ
Agenția/NOUN,Spațială/ADJ,Europeană/ADJ
drept/NOUN,antidumping/ADJ,extins/ADJ
rețea/NOUN,europeană/ADJ,reprezentativă/ADJ
cofinanțarea/NOUN,anuală/ADJ,totală/ADJ
autoritățile/NOUN,naționale/ADJ,competente/ADJ
sănătate/NOUN,publică/ADJ,veterinară/ADJ
sănătate/NOUN,publică/ADJ,veterinară/ADJ
incertitudine/NOUN,maximă/ADJ,admisibilă/ADJ
țara/NOUN,aderentă/ADJ,respectivă/ADJ
dispoziții/NOUN,comunitare/ADJ,relevante/ADJ
leucoză/NOUN,enzootică/ADJ,bovină/ADJ
Vagi/ADJ,funcții/NOUN,feminine/ADJ
exercițiile/NOUN,pedagogice/ADJ,orale/ADJ
curios/ADJ,procedeu/NOUN,aleatoriu/ADJ
catastrofă/NOUN,cosmică/ADJ,revolută/ADJ
căilor/NOUN,respiratorii/ADJ,inferioare/ADJ
risc/NOUN,letal/ADJ,crescut/ADJ
reacții/NOUN,adverse/ADJ,grave/ADJ
reacțiilor/NOUN,adverse/ADJ,non-grave/ADJ
apendicită/NOUN,acută/ADJ,gangrenoasă/ADJ
calcul/NOUN,ureteral/ADJ,inclavat/ADJ
tractului/NOUN,urinar/ADJ,superior/ADJ
intervenție/NOUN,chirurgicală/ADJ,convențională/ADJ
atestare/NOUN,documentară/ADJ,cunoscută/ADJ
Republica/NOUN,Populară/ADJ,Română/ADJ
Partidului/NOUN,Comunist/ADJ,Român/ADJ
Convenția/NOUN,Democrată/ADJ,Română/ADJ
sistem/NOUN,teritorial/ADJ,european/ADJ
partea/NOUN,central/ADJ,sud-estică/ADJ
nivelul/NOUN,energetic/ADJ,superior/ADJ
nivelul/NOUN,energetic/ADJ,inferior/ADJ
amenajări/NOUN,interioare/ADJ,complete/ADJ
legii/NOUN,organice/ADJ,spaniole/ADJ
alegerile/NOUN,anticipate/ADJ,imediate/ADJ
Întreprinderii/NOUN,Metalurgice/ADJ,Bănățene/ADJ
statului/NOUN,major/ADJ,legionar/ADJ
specific/NOUN,tradițional/ADJ,românesc/ADJ
noul/ADJ,sezon/NOUN,competițional/ADJ
componentă/NOUN,culturală/ADJ,apreciabilă/ADJ
alegerile/NOUN,prezidențiale/ADJ,palestiniene/ADJ
fostului/ADJ,premier/NOUN,sârb/ADJ
Fostul/ADJ,președinte/NOUN,cecen/ADJ
grav/ADJ,accident/NOUN,feroviar/ADJ
nou/ADJ,pachet/NOUN,legislativ/ADJ
alegeri/NOUN,prezidențiale/ADJ,anticipate/ADJ
noului/ADJ,președinte/NOUN,ales/ADJ
echipă/NOUN,mixtă/ADJ,româno-americană/ADJ
fostul/ADJ,comisar/NOUN,european/ADJ
instalațiile/NOUN,nucleare/ADJ,libiene/ADJ
manifestațiilor/NOUN,violente/ADJ,antifranceze/ADJ
fosta/ADJ,poliție/NOUN,secretă/ADJ
Noul/ADJ,comisar/NOUN,european/ADJ
organizațiilor/NOUN,teroriste/ADJ,palestiniene/ADJ
zonelor/NOUN,economice/ADJ,exclusive/ADJ
lotului/NOUN,olimpic/ADJ,feminin/ADJ
grav/ADJ,accident/NOUN,feroviar/ADJ
întreg/ADJ,ciclu/NOUN,olimpic/ADJ
forului/NOUN,olimpic/ADJ,român/ADJ
Comitetul/NOUN,Internațional/ADJ,Olimpic/ADJ
administrația/NOUN,publică/ADJ,timișeană/ADJ
semnătura/NOUN,electronică/ADJ,extinsă/ADJ
act/NOUN,notarial/ADJ,electronic/ADJ
Crucea/NOUN,Roșie/ADJ,Română/ADJ
serviciilor/NOUN,secrete/ADJ,americane/ADJ
instructori/NOUN,auto/ADJ,independenți/ADJ
firme/NOUN,locale/ADJ,interesate/ADJ
oferta/NOUN,teatrală/ADJ,locală/ADJ
anului/NOUN,geofizic/ADJ,internațional/ADJ
toalete/NOUN,ecologice/ADJ,moderne/ADJ
numeroase/ADJ,ghiduri/NOUN,gastronomice/ADJ
aptitudini/NOUN,profesionale/ADJ,adecvate/ADJ
fostului/ADJ,președinte/NOUN,irakian/ADJ
noului/ADJ,guvern/NOUN,bulgar/ADJ
întreg/ADJ,anul/NOUN,curent/ADJ
nouă/ADJ,treaptă/NOUN,calitativă/ADJ
programului/NOUN,nuclear/ADJ,iranian/ADJ
Autoritatea/NOUN,Națională/ADJ,Sanitară/ADJ
Autoritatea/NOUN,Națională/ADJ,Sanitară/ADJ
istorie/NOUN,clasică/ADJ,europeană/ADJ
Spitalului/NOUN,Clinic/ADJ,Județean/ADJ
dispozitiv/NOUN,exploziv/ADJ,artizanal/ADJ
condiții/NOUN,meteorologice/ADJ,nefavorabile/ADJ
transport/NOUN,electric/ADJ,urban/ADJ
Oraș/NOUN,ecologic/ADJ,european/ADJ
datele/NOUN,științifice/ADJ,recente/ADJ
control/NOUN,medical/ADJ,gratuit/ADJ
lucru/NOUN,maxim/ADJ,săptămânal/ADJ
concediu/NOUN,anual/ADJ,plătit/ADJ
Controlul/NOUN,medical/ADJ,gratuit/ADJ
cadru/NOUN,legislativ/ADJ,specific/ADJ
nivelul/NOUN,colectiv/ADJ,adecvat/ADJ
liniile/NOUN,urbane/ADJ,regulate/ADJ
țărilor/NOUN,terțe/ADJ,recunoscute/ADJ
liniile/NOUN,directoare/ADJ,existente/ADJ
personalul/NOUN,subcontractat/ADJ,relevant/ADJ
organizații/NOUN,internaționale/ADJ,similare/ADJ
indicațiilor/NOUN,geografice/ADJ,protejate/ADJ
specialităților/NOUN,tradiționale/ADJ,garantate/ADJ
valoare/NOUN,adăugată/ADJ,ridicată/ADJ
politicii/NOUN,agricole/ADJ,comune/ADJ
legislația/NOUN,comunitară/ADJ,corespunzătoare/ADJ
circuitul/NOUN,comercial/ADJ,internațional/ADJ
marcator/NOUN,fiscal/ADJ,comun/ADJ
doză/NOUN,zilnică/ADJ,admisibilă/ADJ
Autoritatea/NOUN,națională/ADJ,desemnată/ADJ
standardele/NOUN,internaționale/ADJ,relevante/ADJ
note/NOUN,tehnice/ADJ,orientative/ADJ
Notele/NOUN,tehnice/ADJ,respective/ADJ
certitudinea/NOUN,juridică/ADJ,corespunzătoare/ADJ
datele/NOUN,statistice/ADJ,disponibile/ADJ
clauzele/NOUN,individuale/ADJ,standard/ADJ
întreaga/ADJ,piață/NOUN,comună/ADJ
condițiilor/NOUN,standard/ADJ,neobligatorii/ADJ
societățile/NOUN,conexe/ADJ,respective/ADJ
anului/NOUN,calendaristic/ADJ,precedent/ADJ
perioadă/NOUN,rezonabilă/ADJ,suplimentară/ADJ
linii/NOUN,directoare/ADJ,comune/ADJ
liniile/NOUN,directoare/ADJ,comune/ADJ
produse/NOUN,alimentare/ADJ,preambalate/ADJ
zahărului/NOUN,brut/ADJ,exportat/ADJ
mici/ADJ,combinații/NOUN,oximoronice/ADJ
scriitorii/NOUN,bănățeni/ADJ,contemporani/ADJ
Teatrul/NOUN,românesc/ADJ,contemporan/ADJ
proza/NOUN,latină/ADJ,clasică/ADJ
mare/ADJ,bogăție/NOUN,imagistică/ADJ
bune/ADJ,pagini/NOUN,evocatoare/ADJ
studiul/NOUN,teoretic/ADJ,erudit/ADJ
spații/NOUN,culturale/ADJ,largi/ADJ
propriei/ADJ,goliri/NOUN,interioare/ADJ
imprevizibilei/ADJ,naturi/NOUN,umane/ADJ
intelectualilor/NOUN,revoluționari/ADJ,francezi/ADJ
noua/ADJ,direcție/NOUN,negruțiană/ADJ
fenomen/NOUN,literar/ADJ,distinct/ADJ
prozei/NOUN,satirice/ADJ,românești/ADJ
amprentă/NOUN,stilistică/ADJ,unică/ADJ
spațiul/NOUN,lingvistic/ADJ,german/ADJ
temerari/ADJ,tineri/ADJ,scriitori/NOUN
cumplită/ADJ,degradare/NOUN,umană/ADJ
întreaga/ADJ,construcție/NOUN,narativă/ADJ
valorilor/NOUN,literare/ADJ,românești/ADJ
marea/ADJ,lumină/NOUN,necreată/ADJ
creației/NOUN,populare/ADJ,autohtone/ADJ
pronunțat/ADJ,caracter/NOUN,memorialistic/ADJ
simț/NOUN,tragic/ADJ,revelatoriu/ADJ
cântecului/NOUN,popular/ADJ,ucrainean/ADJ
Partidului/NOUN,Național/ADJ,Român/ADJ
momentului/NOUN,cosmogonic/ADJ,originar/ADJ
vădite/ADJ,trimiteri/NOUN,eschatologice/ADJ
schemă/NOUN,morală/ADJ,simplificatoare/ADJ
poeziei/NOUN,moderne/ADJ,românești/ADJ
orientare/NOUN,politică/ADJ,nouă/ADJ
scurt/ADJ,remember/NOUN,narativ/ADJ
revistele/NOUN,culturale/ADJ,postrevoluționare/ADJ
scriitor/NOUN,satiric/ADJ,remarcabil/ADJ
Partidul/NOUN,Național/ADJ,Român/ADJ
puternic/ADJ,spirit/NOUN,comunitar/ADJ
mare/ADJ,forță/NOUN,expresivă/ADJ
congrese/NOUN,științifice/ADJ,internaționale/ADJ
Partidului/NOUN,Social/ADJ,Democrat/ADJ
diferite/ADJ,localități/NOUN,transilvănene/ADJ
adunărilor/NOUN,generale/ADJ,extraordinare/ADJ
mediile/NOUN,urbane/ADJ,ardelenești/ADJ
lumii/NOUN,rurale/ADJ,tradiționale/ADJ
răspunsuri/NOUN,opționale/ADJ,implicite/ADJ
autori/NOUN,români/ADJ,contemporani/ADJ
versului/NOUN,modern/ADJ,românesc/ADJ
gingășiile/NOUN,stilistice/ADJ,explicite/ADJ
mitologie/NOUN,literară/ADJ,română/ADJ
sistemul/NOUN,mitologic/ADJ,elin/ADJ
Partidului/NOUN,Social/ADJ,Democrat/ADJ
veche/ADJ,familie/NOUN,boierească/ADJ
realităților/NOUN,sociale/ADJ,românești/ADJ
micul/ADJ,infern/NOUN,uman/ADJ
simbolism/NOUN,cosmic/ADJ,inimitabil/ADJ
felurite/ADJ,medii/NOUN,sociale/ADJ
gruparea/NOUN,politică/ADJ,liberală/ADJ
impasibilă/ADJ,clepsidră/NOUN,cosmică/ADJ
cărți/NOUN,populare/ADJ,înrudite/ADJ
marilor/ADJ,scriitori/NOUN,români/ADJ
cerul/NOUN,verde/ADJ,strălucitor/ADJ
noilor/ADJ,tendințe/NOUN,literare/ADJ
oamenilor/NOUN,politici/ADJ,români/ADJ
imensă/ADJ,dungă/NOUN,luminoasă/ADJ
singură/ADJ,calitate/NOUN,stăpânitoare/ADJ
vechiului/ADJ,drept/NOUN,românesc/ADJ
Condiții/NOUN,istorice/ADJ,neprielnice/ADJ
uriaș/ADJ,organism/NOUN,rotund/ADJ
solidaritate/NOUN,românească/ADJ,desăvârșită/ADJ
aparatul/NOUN,triaxial/ADJ,obișnuit/ADJ
obști/NOUN,sătești/ADJ,libere/ADJ
dialectele/NOUN,românești/ADJ,sud-dunărene/ADJ
răutăcioase/ADJ,duhuri/NOUN,efemere/ADJ
procese/NOUN,psihice/ADJ,posibile/ADJ
criteriu/NOUN,instituțional/ADJ,obiectiv/ADJ
diversele/ADJ,întrebuințări/NOUN,omenești/ADJ
uniforme/NOUN,verzui/ADJ,zdrențuite/ADJ
singura/ADJ,aliterațiune/NOUN,posibilă/ADJ
evaluare/NOUN,individuală/ADJ,atentă/ADJ
Doza/NOUN,săptămânală/ADJ,totală/ADJ
laptele/NOUN,matern/ADJ,uman/ADJ
insuficiență/NOUN,renală/ADJ,severă/ADJ
activitate/NOUN,inductoare/ADJ,puternică/ADJ
metode/NOUN,contraceptive/ADJ,eficace/ADJ
Tensiunea/NOUN,arterială/ADJ,mare/ADJ
insuficiență/NOUN,renală/ADJ,cronică/ADJ
metabolizare/NOUN,hepatică/ADJ,minimă/ADJ
hiperemia/NOUN,cutanată/ADJ,tranzitorie/ADJ
erupții/NOUN,cutanate/ADJ,nespecifice/ADJ
complex/NOUN,proteic/ADJ,mare/ADJ
procesele/NOUN,tehnologice/ADJ,stabilite/ADJ
creșterii/NOUN,ponderale/ADJ,materne/ADJ
celule/NOUN,sanguine/ADJ,albe/ADJ
celule/NOUN,sanguine/ADJ,roșii/ADJ
afectării/NOUN,hepatice/ADJ,medicamentoase/ADJ
Sindrom/NOUN,Neuroleptic/ADJ,Malign/ADJ
acțiune/NOUN,antitumorală/ADJ,experimentală/ADJ
tensiunea/NOUN,arterială/ADJ,ridicată/ADJ
studiile/NOUN,farmacocinetice/ADJ,clinice/ADJ
efect/NOUN,antihipertensiv/ADJ,aditiv/ADJ
terapiile/NOUN,antiretrovirale/ADJ,uzuale/ADJ
inducția/NOUN,enzimatică/ADJ,hepatică/ADJ
Fețele/NOUN,rotunde/ADJ,mongoloide/ADJ
fenomene/NOUN,alergice/ADJ,posibile/ADJ
leucemiei/NOUN,granulocitare/ADJ,cronice/ADJ
leucemia/NOUN,mieloblastică/ADJ,acută/ADJ
insuficiență/NOUN,cardiacă/ADJ,congestivă/ADJ
practica/NOUN,medicală/ADJ,curentă/ADJ
măsuri/NOUN,contraceptive/ADJ,eficace/ADJ
ulcere/NOUN,digitale/ADJ,evolutive/ADJ
hipertensiunii/NOUN,arteriale/ADJ,pulmonare/ADJ
ulcere/NOUN,digitale/ADJ,noi/ADJ
ulcere/NOUN,digitale/ADJ,multiple/ADJ
insuficiență/NOUN,cardiacă/ADJ,congestivă/ADJ
tratament/NOUN,tocolitic/ADJ,alternativ/ADJ
insuficiență/NOUN,renală/ADJ,severă/ADJ
boală/NOUN,cardiacă/ADJ,ischemică/ADJ
boală/NOUN,arterială/ADJ,periferică/ADJ
soluție/NOUN,salină/ADJ,izotonă/ADJ
bune/ADJ,proprietăți/NOUN,adezive/ADJ
activității/NOUN,sexuale/ADJ,anticipate/ADJ
administrare/NOUN,zilnică/ADJ,continuă/ADJ
activității/NOUN,sexuale/ADJ,anticipate/ADJ
administrare/NOUN,zilnică/ADJ,continuă/ADJ
tehnologie/NOUN,genetică/ADJ,specializată/ADJ
resorbție/NOUN,osoasă/ADJ,excesivă/ADJ
sinteză/NOUN,osoasă/ADJ,corespunzătoare/ADJ
hepatotoxicitate/NOUN,serică/ADJ,gravă/ADJ
celule/NOUN,albe/ADJ,sanguine/ADJ
moarte/NOUN,celulară/ADJ,consecutivă/ADJ
multiple/ADJ,proteine-ligand/NOUN,esențiale/ADJ
resorbția/NOUN,osoasă/ADJ,crescută/ADJ
particule/NOUN,solide/ADJ,albe/ADJ
sistemului/NOUN,nervos/ADJ,central/ADJ
reacțiile/NOUN,imune/ADJ,locale/ADJ
eventualele/ADJ,efecte/NOUN,individuale/ADJ
insuficiență/NOUN,hepatică/ADJ,ușoară/ADJ
administrarea/NOUN,intravenoasă/ADJ,bisăptămânală/ADJ
singură/ADJ,familie/NOUN,imensă/ADJ
crizelor/NOUN,convulsive/ADJ,parțiale/ADJ
informații/NOUN,noi/ADJ,disponibile/ADJ
Metabolitul/NOUN,oxidativ/ADJ,major/ADJ
diferiți/ADJ,es/NOUN,inductori/ADJ
insuficiență/NOUN,renală/ADJ,cronică/ADJ
reacții/NOUN,adverse/ADJ,suplimentare/ADJ
tratament/NOUN,farmacologic/ADJ,antidepresiv/ADJ
extremitatea/NOUN,lungă/ADJ,plată/ADJ
principalul/ADJ,studiu/NOUN,clinic/ADJ
intervenției/NOUN,coronariene/ADJ,percutanate/ADJ
probelor/NOUN,bioptice/ADJ,tumorale/ADJ
eritropoetină/NOUN,umană/ADJ,recombinantă/ADJ
monitorizarea/NOUN,hepatică/ADJ,lunară/ADJ
ulcer/NOUN,digital/ADJ,evolutiv/ADJ
noi/ADJ,ulcere/NOUN,digitale/ADJ
alegeri/NOUN,legislative/ADJ,anticipate/ADJ
tablou/NOUN,tematic/ADJ,normativ/ADJ
personalitățile/NOUN,literar-artistice/ADJ,românești/ADJ
Singurul/ADJ,material/NOUN,literar/ADJ
neîndoielnică/ADJ,vocație/NOUN,poematică/ADJ
spațiul/NOUN,cultural/ADJ,românesc/ADJ
întreaga/ADJ,activitate/NOUN,literară/ADJ
memorie/NOUN,generică/ADJ,difuză/ADJ
efecte/NOUN,extrapancreatice/ADJ,importante/ADJ
dozelor/NOUN,orale/ADJ,multiple/ADJ
îngrijire/NOUN,medicală/ADJ,permanentă/ADJ
măduvei/NOUN,osoase/ADJ,umane/ADJ
bariera/NOUN,feto-placentară/ADJ,umană/ADJ
erupții/NOUN,cutanate/ADJ,tranzitorii/ADJ
formatul/NOUN,european/ADJ,comun/ADJ
erorilor/NOUN,maxime/ADJ,admise/ADJ
lungilor/ADJ,tirade/NOUN,romantice/ADJ
interesant/ADJ,subiect/NOUN,filologic/ADJ
state/NOUN,feudale/ADJ,românești/ADJ
pantofi/NOUN,negri/ADJ,strălucitori/ADJ
vorbire/NOUN,polisilabică/ADJ,rapidă/ADJ
pantofi/NOUN,negri/ADJ,strălucitori/ADJ
flotei/NOUN,originale/ADJ,invadatoare/ADJ
scheme/NOUN,zonale/ADJ,rurale/ADJ
atitudinile/NOUN,sociale/ADJ,stabilite/ADJ
frumoasă/ADJ,vale/NOUN,abruptă/ADJ
fețe/NOUN,asiatice/ADJ,imobile/ADJ
culoare/NOUN,verde/ADJ,spălăcită/ADJ
boli/NOUN,severe/ADJ,neașteptate/ADJ
marile/ADJ,comploturi/NOUN,ilegale/ADJ
asemenea/ADJ,infracțiune/NOUN,ticăloasă/ADJ
asemenea/ADJ,crimă/NOUN,înfricoșătoare/ADJ
asemenea/ADJ,crimă/NOUN,brutală/ADJ
activist/NOUN,american/ADJ,radical/ADJ
Chimia/NOUN,atmosferică/ADJ,globală/ADJ
atmosfere/NOUN,inițiale/ADJ,ostile/ADJ
regata/NOUN,Olimpică/ADJ,Franceză/ADJ
linia/NOUN,aeriană/ADJ,rusă/ADJ
demodat/ADJ,rock'n'roll/NOUN,agreabil/ADJ
gumă/NOUN,roșie/ADJ,lipicioasă/ADJ
coagulare/NOUN,intravasculară/ADJ,diseminată/ADJ
luptele/NOUN,teritoriale/ADJ,reminiscente/ADJ
materiale/NOUN,trombo-rezistente/ADJ,satisfăcătoare/ADJ
coagulării/NOUN,intravasculare/ADJ,primare/ADJ
noilor/ADJ,stații/NOUN,respective/ADJ
sistemului/NOUN,monetar/ADJ,internațional/ADJ
morții/NOUN,infantile/ADJ,subite/ADJ
recentele/ADJ,carnagii/NOUN,hinduso-musulmane/ADJ
scurtă/ADJ,perioadă/NOUN,dificilă/ADJ
proteza/NOUN,ușoară/ADJ,specială/ADJ
singură/ADJ,ființă/NOUN,umană/ADJ
marele/ADJ,șemineu/NOUN,medieval/ADJ
sârma/NOUN,ghimpată/ADJ,ruginită/ADJ
degetul/NOUN,mare/ADJ,drept/ADJ
mica/ADJ,porțiune/NOUN,cheală/ADJ
imense/ADJ,structuri/NOUN,piramidale/ADJ
cuvintelor/NOUN,candidate/ADJ,alternative/ADJ
naționaliștii/NOUN,catalani/ADJ,extremiști/ADJ
întreg/ADJ,sezonul/NOUN,rece/ADJ
materie/NOUN,gelatinoasă/ADJ,cenușie/ADJ
prunelor/NOUN,ieftine/ADJ,importate/ADJ
prezentei/ADJ,acțiuni/NOUN,comune/ADJ
măsurilor/NOUN,comunitare/ADJ,relevante/ADJ
energia/NOUN,electrică/ADJ,activă/ADJ
energie/NOUN,electrică/ADJ,activă/ADJ
Organizația/NOUN,Maritimă/ADJ,Internațională/ADJ
riscuri/NOUN,previzibile/ADJ,ridicate/ADJ
agentului/NOUN,oficial/ADJ,desemnat/ADJ
entitatea/NOUN,publică/ADJ,respectivă/ADJ
procedurilor/NOUN,interne/ADJ,respective/ADJ
Comunitatea/NOUN,Economică/ADJ,Europeană/ADJ
marinarilor/NOUN,locali/ADJ,îmbarcați/ADJ
reuniuni/NOUN,comune/ADJ,periodice/ADJ
păr/NOUN,blond/ADJ,minunat/ADJ
grup/NOUN,consultativ/ADJ,independent/ADJ
raport/NOUN,tehnic/ADJ,detaliat/ADJ
cetățeniei/NOUN,europene/ADJ,active/ADJ
cetățeniei/NOUN,europene/ADJ,active/ADJ
întreaga/ADJ,cantitate/NOUN,autorizată/ADJ
Eroarea/NOUN,maximă/ADJ,admisă/ADJ
asistența/NOUN,administrativă/ADJ,reciprocă/ADJ
incertitudine/NOUN,maximă/ADJ,admisibilă/ADJ
arterita/NOUN,virală/ADJ,ecvină/ADJ
certificatul/NOUN,sanitar-veterinar/ADJ,corespunzător/ADJ
animale/NOUN,domestice/ADJ,biongulate/ADJ
Comunitatea/NOUN,Economică/ADJ,Europeană/ADJ
Autoritățile/NOUN,sanitar-veterinare/ADJ,competente/ADJ
consecințe/NOUN,economice/ADJ,considerabile/ADJ
pestei/NOUN,porcine/ADJ,clasice/ADJ
Asociațiile/NOUN,socio-profesionale/ADJ,interesate/ADJ
metode/NOUN,analitice/ADJ,noi/ADJ
drept/NOUN,antidumping/ADJ,definitiv/ADJ
drepturi/NOUN,antidumping/ADJ,definitive/ADJ
organizațiile/NOUN,neguvernamentale/ADJ,internaționale/ADJ
următoarea/ADJ,linie/NOUN,directoare/ADJ
moștenirea/NOUN,culturală/ADJ,comună/ADJ
statele/NOUN,membre/ADJ,respective/ADJ
reglementările/NOUN,comunitare/ADJ,aplicabile/ADJ
bunei/ADJ,gestiuni/NOUN,financiare/ADJ
parcursul/NOUN,educațional/ADJ,european/ADJ
Proba/NOUN,globală/ADJ,completă/ADJ
mediu/NOUN,electromagnetic/ADJ,special/ADJ
problemă/NOUN,administrativă/ADJ,generală/ADJ
centre/NOUN,financiare/ADJ,importante/ADJ
centre/NOUN,financiare/ADJ,importante/ADJ
centre/NOUN,financiare/ADJ,importante/ADJ
contingentelor/NOUN,tarifare/ADJ,existente/ADJ
noilor/ADJ,contingente/NOUN,tarifare/ADJ
culoarele/NOUN,aeriene/ADJ,internaționale/ADJ
grup/NOUN,consultativ/ADJ,independent/ADJ
Pesta/NOUN,porcină/ADJ,clasică/ADJ
Fosta/ADJ,Republică/NOUN,Iugoslavă/ADJ
dificultăți/NOUN,sociale/ADJ,grave/ADJ
