українському/ADJ,культурному/ADJ,просторі/NOUN
жорстоку/ADJ,імперіялістичну/ADJ,неволю/NOUN
самостійних/ADJ,слов'янських/ADJ,держав/NOUN
генеральній/ADJ,політичній/ADJ,лінії/NOUN
союзних/ADJ,поневолених/ADJ,народів/NOUN
майбутній/ADJ,рішальній/ADJ,розправі/NOUN
поетична/ADJ,українська/ADJ,натура/NOUN
кислим/ADJ,вохким/ADJ,духом/NOUN
власних/ADJ,культурних/ADJ,надбань/NOUN
квапливими/ADJ,неохайними/ADJ,карлючками/NOUN
Європейським/ADJ,поліцейським/ADJ,офісом/NOUN
внутрішньодержавних/ADJ,ратифікаційних/ADJ,процедур/NOUN
Європейським/ADJ,поліцейським/ADJ,офісом/NOUN
міжнародних/ADJ,фінансових/ADJ,організацій/NOUN
державної/ADJ,молодіжної/ADJ,політики/NOUN
профільних/ADJ,міжнародних/ADJ,організацій/NOUN
зазначених/ADJ,парламентських/ADJ,слухань/NOUN
публічного/ADJ,акціонерного/ADJ,товариства/NOUN
публічного/ADJ,акціонерного/ADJ,товариства/NOUN
державної/ADJ,внутрішньої/ADJ,політики/NOUN
приватного/ADJ,акціонерного/ADJ,товариства/NOUN
приватного/ADJ,акціонерного/ADJ,товариства/NOUN
Державної/ADJ,авіаційної/ADJ,служби/NOUN
останні/ADJ,календарні/ADJ,місяці/NOUN
мінімальної/ADJ,заробітної/ADJ,плати/NOUN
мінімальної/ADJ,заробітної/ADJ,плати/NOUN
смичковий/ADJ,музичний/ADJ,інструмент/NOUN
смичкові/ADJ,музичні/ADJ,інструменти/NOUN
смичковий/ADJ,музичний/ADJ,інструмент/NOUN
смичковий/ADJ,музичний/ADJ,інструмент/NOUN
смичковий/ADJ,музичний/ADJ,інструмент/NOUN
смичковий/ADJ,музичний/ADJ,інструмент/NOUN
Центральної/ADJ,виборчої/ADJ,комісії/NOUN
Товстенської/ADJ,селищної/ADJ,ради/NOUN
об’єднаної/ADJ,територіальної/ADJ,громади/NOUN
Товстенського/ADJ,селищного/ADJ,голови/NOUN
Товстенська/ADJ,селищна/ADJ,рада/NOUN
об’єднаної/ADJ,територіальної/ADJ,громади/NOUN
Товстенський/ADJ,селищний/ADJ,голова/NOUN
Товстенського/ADJ,селищного/ADJ,голови/NOUN
Центральної/ADJ,виборчої/ADJ,комісії/NOUN
перших/ADJ,місцевих/ADJ,виборів/NOUN
відповідних/ADJ,місцевих/ADJ,рад/NOUN
обласної/ADJ,державної/ADJ,адміністрації/NOUN
Центральної/ADJ,виборчої/ADJ,комісії/NOUN
Центральна/ADJ,виборча/ADJ,комісія/NOUN
обласній/ADJ,державній/ADJ,адміністрації/NOUN
об’єднаних/ADJ,територіальних/ADJ,громад/NOUN
Центральної/ADJ,виборчої/ADJ,комісії/NOUN
об’єднаних/ADJ,територіальних/ADJ,громад/NOUN
обласних/ADJ,державних/ADJ,адміністрацій/NOUN
Товстенської/ADJ,селищної/ADJ,ради/NOUN
об’єднаної/ADJ,територіальної/ADJ,громади/NOUN
Товстенського/ADJ,селищного/ADJ,голови/NOUN
Центральна/ADJ,виборча/ADJ,комісія/NOUN
Кошилівської/ADJ,сільської/ADJ,ради/NOUN
Дорогичівської/ADJ,сільської/ADJ,ради/NOUN
вказаної/ADJ,місцевої/ADJ,ради/NOUN
Хмелівської/ADJ,сільської/ADJ,ради/NOUN
Хмелівської/ADJ,сільської/ADJ,ради/NOUN
зазначеної/ADJ,місцевої/ADJ,ради/NOUN
Шутроминської/ADJ,сільської/ADJ,ради/NOUN
Товстенської/ADJ,селищної/ADJ,ради/NOUN
об’єднаної/ADJ,територіальної/ADJ,громади/NOUN
Товстенської/ADJ,територіальної/ADJ,громади/NOUN
вказаного/ADJ,електронного/ADJ,довідника/NOUN
Товстенської/ADJ,селищної/ADJ,ради/NOUN
Товстенської/ADJ,селищної/ADJ,ради/NOUN
об’єднаної/ADJ,територіальної/ADJ,громади/NOUN
Товстенського/ADJ,селищного/ADJ,голови/NOUN
відповідних/ADJ,місцевих/ADJ,виборів/NOUN
Центральна/ADJ,виборча/ADJ,комісія/NOUN
регіональними/ADJ,торговопромисловими/ADJ,палатами/NOUN
центральний/ADJ,диспетчерський/ADJ,пункт/NOUN
Атомні/ADJ,енергетичні/ADJ,системи/NOUN
Атомним/ADJ,енергетичним/ADJ,системам/NOUN
Атомні/ADJ,енергетичні/ADJ,системи/NOUN
блискуча/ADJ,божа/ADJ,мрія/NOUN
внутрішньої/ADJ,державної/ADJ,позики/NOUN
офіційного/ADJ,урядового/ADJ,видання/NOUN
I-им/ADJ,українським/ADJ,фронтом/NOUN
річний/ADJ,плановий/ADJ,показник/NOUN
сонячний/ADJ,тихий/ADJ,ранок/NOUN
жовті/ADJ,вечірні/ADJ,спалахи/NOUN
сучасної/ADJ,української/ADJ,поезії/NOUN
молодий/ADJ,талановитий/ADJ,поет/NOUN
українські/ADJ,самостійницькі/ADJ,партії/NOUN
української/ADJ,електроакустичної/ADJ,музики/NOUN
графічні/ADJ,біомеханічні/ADJ,партитури/NOUN
Перші/ADJ,експериментальні/ADJ,вистави/NOUN
далекому/ADJ,1929/ADJ,році/NOUN
Тарутинського/ADJ,загальновійськового/ADJ,полігону/NOUN
Полтавського/ADJ,сільськогосподарського/ADJ,інституту/NOUN
вагомі/ADJ,творчі/ADJ,здобутки/NOUN
п'ятирічна/ADJ,героїчна/ADJ,боротьба/NOUN
Херсонського/ADJ,Археологічного/ADJ,Музею/NOUN
татарської/ADJ,матеріяльної/ADJ,культури/NOUN
Херсонського/ADJ,Археологічного/ADJ,Музею/NOUN
Харківського/ADJ,авіаційного/ADJ,інституту/NOUN
нові/ADJ,українські/ADJ,покоління/NOUN
одномоторний/ADJ,пасажирський/ADJ,літак/NOUN
чистих/ADJ,аеродинамічних/ADJ,форм/NOUN
високі/ADJ,льотні/ADJ,якості/NOUN
нинішній/ADJ,святковий/ADJ,день/NOUN
перших/ADJ,загальних/ADJ,зборах/NOUN
нові/ADJ,визвольні/ADJ,змагання/NOUN
нинішній/ADJ,святковий/ADJ,день/NOUN
большевицького/ADJ,гнобительського/ADJ,імперіялізму/NOUN
нормальний/ADJ,будівельний/ADJ,процес/NOUN
Великій/ADJ,Вуличній/ADJ,сцені/NOUN
урочисте/ADJ,офіційне/ADJ,відкриття/NOUN
Литовського/ADJ,культурного/ADJ,інституту/NOUN
Регіональна/ADJ,виконавча/ADJ,комісія/NOUN
Національна/ADJ,виконавча/ADJ,комісія/NOUN
лінійного/ADJ,диференційного/ADJ,рівняння/NOUN
однорідного/ADJ,диференційного/ADJ,рівняння/NOUN
монастирським/ADJ,єзуїтським/ADJ,садом/NOUN
вбогих/ADJ,міщанських/ADJ,хаток/NOUN
панянського/ADJ,католицького/ADJ,монастиря/NOUN
чудової/ADJ,напівготицької/ADJ,архітектури/NOUN
безпринципна/ADJ,міщанська/ADJ,напівінтелігенція/NOUN
войовничий/ADJ,філософський/ADJ,матеріялізм/NOUN
масову/ADJ,роз'яснювальну/ADJ,акцію/NOUN
далекого/ADJ,радіолокаційного/ADJ,виявлення/NOUN
малі/ADJ,рухливі/ADJ,відділи/NOUN
14-ї/ADJ,щорічної/ADJ,зустрічі/NOUN
Ялтинської/ADJ,європейської/ADJ,стратегії/NOUN
Міжнародним/ADJ,валютним/ADJ,фондом/NOUN
14-ої/ADJ,Щорічної/ADJ,зустрічі/NOUN
Ялтинської/ADJ,Європейської/ADJ,Стратегії/NOUN
найдавніших/ADJ,обласних/ADJ,центрів/NOUN
потужний/ADJ,волонтерський/ADJ,рух/NOUN
щорічним/ADJ,спортивним/ADJ,заходом/NOUN
налагоджений/ADJ,високий/ADJ,рівень/NOUN
надважливого/ADJ,футбольного/ADJ,дійства/NOUN
широка/ADJ,світова/ADJ,опінія/NOUN
криваві/ADJ,визвольні/ADJ,змагання/NOUN
паскудна/ADJ,чорна/ADJ,кішка/NOUN
бабиному/ADJ,залізному/ADJ,носі/NOUN
єдину/ADJ,цілісну/ADJ,упаковку/NOUN
складських/ADJ,транспортних/ADJ,засобів/NOUN
неправильну/ADJ,геометричну/ADJ,форму/NOUN
одверта/ADJ,коментаторська/ADJ,брехня/NOUN
вказаного/ADJ,часового/ADJ,інтервалу/NOUN
сіра/ADJ,чубата/ADJ,квочка/NOUN
маленьке/ADJ,скорчене/ADJ,тільце/NOUN
нові/ADJ,мокрі/ADJ,громадяни/NOUN
погана/ADJ,колюча/ADJ,соломина/NOUN
перший/ADJ,ніжний/ADJ,поклик/NOUN
Ніжне/ADJ,дрібненьке/ADJ,квоктання/NOUN
звичайнісіньке/ADJ,мале/ADJ,курчатко/NOUN
поважну/ADJ,чорну/ADJ,муху/NOUN
соняшному/ADJ,квітневому/ADJ,дню/NOUN
важливий/ADJ,енергетичний/ADJ,резерв/NOUN
тоненька/ADJ,базальна/ADJ,мембрана/NOUN
Складний/ADJ,рефлекторний/ADJ,процес/NOUN
Сформована/ADJ,харчова/ADJ,грудка/NOUN
блювальний/ADJ,захисний/ADJ,рефлекс/NOUN
великою/ADJ,харчовою/ADJ,грудкою/NOUN
братнього/ADJ,російського/ADJ,народу/NOUN
яскраві/ADJ,сонячні/ADJ,пасма/NOUN
певних/ADJ,хімічних/ADJ,речовин/NOUN
небезпечне/ADJ,інфекційне/ADJ,захворювання/NOUN
гостре/ADJ,інфекційне/ADJ,захворювання/NOUN
буйне/ADJ,рослинне/ADJ,море/NOUN
розбитої/ADJ,порцелянової/ADJ,чашки/NOUN
Маленький/ADJ,смугастий/ADJ,звірок/NOUN
середню/ADJ,кінетичну/ADJ,енергію/NOUN
безбарвний/ADJ,гірський/ADJ,кришталь/NOUN
Донецької/ADJ,складчастої/ADJ,області/NOUN
різноманітні/ADJ,напівдорогоцінні/ADJ,камені/NOUN
мінеральних/ADJ,лікувальних/ADJ,вод/NOUN
лікувальних/ADJ,мінеральних/ADJ,вод/NOUN
різноманітних/ADJ,будівельних/ADJ,матеріалів/NOUN
окремі/ADJ,вугільні/ADJ,пласти/NOUN
цінні/ADJ,хімічні/ADJ,речовини/NOUN
помірному/ADJ,кліматичному/ADJ,поясі/NOUN
давнього/ADJ,морського/ADJ,басейну/NOUN
рівним/ADJ,плоским/ADJ,дном/NOUN
підводні/ADJ,грязьові/ADJ,вулкани/NOUN
ворожих/ADJ,живих/ADJ,істот/NOUN
небезпечними/ADJ,вихлопними/ADJ,газами/NOUN
значних/ADJ,матеріальних/ADJ,збитків/NOUN
інтенсивної/ADJ,господарської/ADJ,діяльності/NOUN
серйозного/ADJ,негативного/ADJ,впливу/NOUN
великої/ADJ,тектонічної/ADJ,структури/NOUN
молоді/ADJ,складчасті/ADJ,системи/NOUN
найвищою/ADJ,абсолютною/ADJ,висотою/NOUN
Значні/ADJ,абсолютні/ADJ,висоти/NOUN
неоднаковими/ADJ,гірськими/ADJ,породами/NOUN
Донецька/ADJ,складчаста/ADJ,область/NOUN
жорстких/ADJ,магнітних/ADJ,дисках/NOUN
додаткові/ADJ,службові/ADJ,відомості/NOUN
чудесний/ADJ,короткий/ADJ,ніс/NOUN
напруженому/ADJ,півбожевільному/ADJ,настроєві/NOUN
швидким/ADJ,чорногузовим/ADJ,клекотом/NOUN
чудесну/ADJ,рижу/ADJ,леді/NOUN
французьких/ADJ,буржуазних/ADJ,імпотентів/NOUN
міщанське/ADJ,цнотливе/ADJ,ліжко/NOUN
поважний/ADJ,сонетовий/ADJ,кадриль/NOUN
неокласичний/ADJ,французький/ADJ,рух/NOUN
місцевим/ADJ,слідчим/ADJ,ізолятором/NOUN
Знайомий/ADJ,дорівський/ADJ,священик/NOUN
великого/ADJ,панельного/ADJ,будинку/NOUN
найлеґендарніших/ADJ,етапних/ADJ,тюрмах/NOUN
старими/ADJ,драними/ADJ,килимками/NOUN
повного/ADJ,шмайсерівського/ADJ,маґазина/NOUN
сучасних/ADJ,найпростіших/ADJ,слів/NOUN
єдиним/ADJ,реальним/ADJ,дідусем/NOUN
чорні/ADJ,жалобні/ADJ,пов’язки/NOUN
особливе/ADJ,рожеве/ADJ,сяйво/NOUN
українського/ADJ,таємного/ADJ,університету/NOUN
видовженої/ADJ,металевої/ADJ,тарелі/NOUN
свячені/ADJ,йорданську/ADJ,воду/NOUN
антирадянську/ADJ,машинописну/ADJ,листівку/NOUN
старих/ADJ,кам’яних/ADJ,плит/NOUN
обласній/ADJ,дитячій/ADJ,лікарні/NOUN
різних/ADJ,лісових/ADJ,ділянок/NOUN
справжні/ADJ,розкішні/ADJ,притони/NOUN
першому/ADJ,нічному/ADJ,барі/NOUN
Найкраще/ADJ,природне/ADJ,лісовідновлення/NOUN
дешеві/ADJ,американські/ADJ,сигарети/NOUN
міську/ADJ,стоматологічну/ADJ,поліклініку/NOUN
Дев’ятого/ADJ,Трирічного/ADJ,Плану/NOUN
совєтській/ADJ,військовій/ADJ,шапці/NOUN
малознаних/ADJ,давніх/ADJ,поетів/NOUN
добрі/ADJ,дитячі/ADJ,куртки/NOUN
добра/ADJ,кринична/ADJ,вода/NOUN
персональних/ADJ,лялькових/ADJ,дротів/NOUN
останні/ADJ,підліткові/ADJ,стріли/NOUN
грубого/ADJ,сталевого/ADJ,дроту/NOUN
маленький/ADJ,гострильний/ADJ,камінь/NOUN
спустошливу/ADJ,особисту/ADJ,втрату/NOUN
найпроникливішої/ADJ,інтимної/ADJ,лірики/NOUN
блискучого/ADJ,білого/ADJ,бетону/NOUN
вареними/ADJ,сушеними/ADJ,грушками/NOUN
навколишніх/ADJ,грушевих/ADJ,лісів/NOUN
жахливу/ADJ,ядерну/ADJ,катастрофу/NOUN
американських/ADJ,зелених/ADJ,беретів/NOUN
розгалужену/ADJ,підземну/ADJ,систему/NOUN
п’яний/ADJ,ростовський/ADJ,гість/NOUN
знаменитого/ADJ,львівського/ADJ,професора/NOUN
добровільної/ADJ,молодіжної/ADJ,організації/NOUN
жирній/ADJ,бетонній/ADJ,підлозі/NOUN
міський/ADJ,шаховий/ADJ,турнір/NOUN
гарячий/ADJ,солодкий/ADJ,чай/NOUN
тривалі/ADJ,автономні/ADJ,сеанси/NOUN
приготовлену/ADJ,залізну/ADJ,миску/NOUN
ранкових/ADJ,дівчачих/ADJ,боях/NOUN
нормальний/ADJ,український/ADJ,драматург/NOUN
простенька/ADJ,біла/ADJ,етикетка/NOUN
китайська/ADJ,рисова/ADJ,горілка/NOUN
ранковим/ADJ,холодним/ADJ,берегом/NOUN
поодинокі/ADJ,партизанські/ADJ,загони/NOUN
височенними/ADJ,дощаними/ADJ,парканами/NOUN
здрібніла/ADJ,російська/ADJ,форма/NOUN
малесеньких/ADJ,ялицевих/ADJ,проростків/NOUN
бузькове/ADJ,прощальне/ADJ,перо/NOUN
гладенький/ADJ,кремовий/ADJ,папір/NOUN
татовою/ADJ,службовою/ADJ,машиною/NOUN
передніх/ADJ,бічних/ADJ,вікнах/NOUN
чудовий/ADJ,кремовий/ADJ,папір/NOUN
звичайним/ADJ,хімічним/ADJ,олівцем/NOUN
порожніх/ADJ,сірникових/ADJ,коробок/NOUN
допоміжні/ADJ,історичні/ADJ,дисципліни/NOUN
Першою/ADJ,світовою/ADJ,війною/NOUN
Єдиний/ADJ,порядний/ADJ,вчитель/NOUN
виписаними/ADJ,латинськими/ADJ,висловами/NOUN
цілковитих/ADJ,математичних/ADJ,сутінках/NOUN
письмове/ADJ,домашнє/ADJ,завдання/NOUN
найзатишнішу/ADJ,дерев’яну/ADJ,хатку/NOUN
великі/ADJ,довоєнні/ADJ,знимки/NOUN
дешевого/ADJ,іспанського/ADJ,вина/NOUN
міжнародної/ADJ,гуманітарної/ADJ,допомоги/NOUN
найкращі/ADJ,французькі/ADJ,сиґарети/NOUN
чудове/ADJ,калинове/ADJ,вино/NOUN
Маленькими/ADJ,незграбними/ADJ,літерами/NOUN
невиразні/ADJ,дитячі/ADJ,голоси/NOUN
головного/ADJ,міського/ADJ,готелю/NOUN
розщеплені/ADJ,кольорові/ADJ,сорочки/NOUN
літрових/ADJ,скляних/ADJ,фляшках/NOUN
поприв’язуваними/ADJ,надувними/ADJ,кульками/NOUN
химерними/ADJ,залізними/ADJ,пластинками/NOUN
швидкими/ADJ,атлетичними/ADJ,рухами/NOUN
найжахливіша/ADJ,сиґаретна/ADJ,криза/NOUN
громадських/ADJ,піших/ADJ,маршів/NOUN
грізний/ADJ,зовнішній/ADJ,вигляд/NOUN
місцевій/ADJ,Пузатій/ADJ,Хаті/NOUN
15-сантиметрового/ADJ,модринового/ADJ,бруса/NOUN
легким/ADJ,міцним/ADJ,євроруберойдом/NOUN
умовний/ADJ,другий/ADJ,поверх/NOUN
Маленька/ADJ,рудувата/ADJ,жіночка/NOUN
одна/ADJ,ліберальна/ADJ,демократія/NOUN
молодих/ADJ,талановитих/ADJ,громадян/NOUN
унікальні/ADJ,споживчі/ADJ,якості/NOUN
велетенської/ADJ,механічної/ADJ,машини/NOUN
Українчиних/ADJ,дружніх/ADJ,листів/NOUN
Маленька/ADJ,рудувата/ADJ,жіночка/NOUN
кращих/ADJ,приватних/ADJ,адвокатів/NOUN
позитивний/ADJ,торговельний/ADJ,баланс/NOUN
комуністичних/ADJ,збройних/ADJ,формувань/NOUN
китайських/ADJ,імператорських/ADJ,династій/NOUN
вузькою/ADJ,Тайванською/ADJ,протокою/NOUN
перші/ADJ,найсолодші/ADJ,соки/NOUN
маленькими/ADJ,гострими/ADJ,очима/NOUN
болючої/ADJ,емоційної/ADJ,суміші/NOUN
Буднього/ADJ,робочого/ADJ,дня/NOUN
незліченної/ADJ,тіньової/ADJ,армії/NOUN
колекційну/ADJ,карткову/ADJ,гру/NOUN
стрьомних/ADJ,великих/ADJ,павуків/NOUN
Маленька/ADJ,рудувата/ADJ,жіночка/NOUN
могутня/ADJ,грудна/ADJ,клітина/NOUN
останні/ADJ,переломові/ADJ,роки/NOUN
Андромахівського/ADJ,родинного/ADJ,вогнища/NOUN
цілого/ADJ,многобарвного/ADJ,світу/NOUN
новенькому/ADJ,дешевому/ADJ,костюмі/NOUN
куці/ADJ,студентські/ADJ,новини/NOUN
благенькій/ADJ,вишиваній/ADJ,сорочині/NOUN
брезентовою/ADJ,поштарською/ADJ,сумкою/NOUN
золотого/ADJ,Марфиного/ADJ,волосся/NOUN
Сині/ADJ,Марфині/ADJ,очі/NOUN
Огидний/ADJ,екстатичний/ADJ,транс/NOUN
Марфина/ADJ,душа/NOUN,нещасна/ADJ
густим/ADJ,чорним/ADJ,чорнилом/NOUN
гумовим/ADJ,поліцейським/ADJ,кийком/NOUN
Нове/ADJ,покоління/NOUN,людське/ADJ
велика/ADJ,блискуча/ADJ,зоря/NOUN
найвідоміших/ADJ,спортивних/ADJ,коментаторів/NOUN
большевицької/ADJ,брехливої/ADJ,пропаганди/NOUN
волелюбним/ADJ,слов'янським/ADJ,братам/NOUN
новий/ADJ,вільний/ADJ,світ/NOUN
сусідніх/ADJ,слов’янських/ADJ,мов/NOUN
Сучасна/ADJ,українська/ADJ,мова/NOUN
першу/ADJ,фонетичну/ADJ,зміну/NOUN
пізнішій/ADJ,українській/ADJ,території/NOUN
самостійна/ADJ,українська/ADJ,мова/NOUN
перші/ADJ,писемні/ADJ,пам’ятки/NOUN
певними/ADJ,діалектними/ADJ,особливостями/NOUN
аналізований/ADJ,попередній/ADJ,період/NOUN
важливе/ADJ,додаткове/ADJ,джерело/NOUN
світської/ADJ,літературної/ADJ,норми/NOUN
тогочасна/ADJ,білоруська/ADJ,мова/NOUN
Великому/ADJ,князівстві/NOUN,Литовському/ADJ
української/ADJ,історичної/ADJ,фонології/NOUN
сучасної/ADJ,української/ADJ,мови/NOUN
єдиним/ADJ,радикальним/ADJ,засобом/NOUN
штучними/ADJ,науковими/ADJ,окресленнями/NOUN
Несподіваний/ADJ,різкий/ADJ,поштовх/NOUN
доісторичні/ADJ,слов’янські/ADJ,племена/NOUN
Київському/ADJ,Початковому/ADJ,літописі/NOUN
доісторичні/ADJ,слов’янські/ADJ,племена/NOUN
давньоукраїнської/ADJ,рукописної/ADJ,спадщини/NOUN
української/ADJ,історичної/ADJ,діалектології/NOUN
української/ADJ,національної/ADJ,революції/NOUN
української/ADJ,історичної/ADJ,фонології/NOUN
сучасній/ADJ,українській/ADJ,мові/NOUN
власні/ADJ,хибні/ADJ,прочитання/NOUN
достотні/ADJ,мовні/ADJ,факти/NOUN
відповідного/ADJ,фонологічного/ADJ,контексту/NOUN
реалістичне/ADJ,історичне/ADJ,витлумачення/NOUN
давніх/ADJ,смішних/ADJ,рекомендаціях/NOUN
невиправною/ADJ,унадливою/ADJ,звичкою/NOUN
похмурої/ADJ,подружньої/ADJ,любові/NOUN
найдужчих/ADJ,еротичних/ADJ,подразників/NOUN
високою/ADJ,чуттєвою/ADJ,сприйнятливістю/NOUN
першим/ADJ,статевим/ADJ,актом/NOUN
чуттєві/ADJ,нервові/ADJ,волокна/NOUN
Велику/ADJ,статеву/ADJ,чутливість/NOUN
підвищене/ADJ,статеве/ADJ,збудження/NOUN
старого/ADJ,ідейного/ADJ,інтеліґента/NOUN
велетенська/ADJ,темна/ADJ,стіна/NOUN
тоненькі/ADJ,дитячі/ADJ,голоси/NOUN
звичайним/ADJ,законодатнім/ADJ,порядком/NOUN
попередніми/ADJ,Всенародніми/ADJ,Зборами/NOUN
Нові/ADJ,Всенародні/ADJ,Збори/NOUN
відпрацьованих/ADJ,вугільних/ADJ,родовищах/NOUN
відпрацьованих/ADJ,вугільних/ADJ,родовищ/NOUN
відпрацьованих/ADJ,вугільних/ADJ,родовищ/NOUN
діючих/ADJ,гірничих/ADJ,підприємств/NOUN
супутньої/ADJ,корисної/ADJ,копалини/NOUN
відповідного/ADJ,спеціального/ADJ,дозволу/NOUN
окремого/ADJ,спеціального/ADJ,дозволу/NOUN
безпритульні/ADJ,домашні/ADJ,тварини/NOUN
природної/ADJ,морської/ADJ,води/NOUN
вищих/ADJ,навчальних/ADJ,закладах/NOUN
Нежиттєздатна/ADJ,експериментальна/ADJ,тварина/NOUN
електронної/ADJ,митної/ADJ,декларації/NOUN
електронна/ADJ,митна/ADJ,декларація/NOUN
державну/ADJ,фінансову/ADJ,політику/NOUN
наступний/ADJ,операційний/ADJ,день/NOUN
поточний/ADJ,банківський/ADJ,рахунок/NOUN
Єдиного/ADJ,державного/ADJ,реєстру/NOUN
Вінницьке/ADJ,лісове/ADJ,господарство/NOUN
зазначеній/ADJ,фізичній/ADJ,особі/NOUN
українського/ADJ,культурного/ADJ,спротиву/NOUN
чорна/ADJ,справжня/ADJ,фарба/NOUN
різним/ADJ,матеріалом/NOUN,ілюстрованим/ADJ
нового/ADJ,українського/ADJ,письменства/NOUN
київською/ADJ,літературною/ADJ,громадою/NOUN
Міжнародній/ADJ,комерційній/ADJ,телерадіокомпанії/NOUN
важку/ADJ,екологічну/ADJ,ситуацію/NOUN
просторим/ADJ,спальним/ADJ,місцем/NOUN
Добре/ADJ,темне/ADJ,пиво/NOUN
гіркувате/ADJ,світле/ADJ,пиво/NOUN
розвинених/ADJ,капіталістичних/ADJ,країнах/NOUN
окресленої/ADJ,державної/ADJ,формації/NOUN
найдосвідченіших/ADJ,польових/ADJ,командирів/NOUN
російською/ADJ,регулярною/ADJ,армією/NOUN
перший/ADJ,відомий/ADJ,випадок/NOUN
неназваних/ADJ,єменських/ADJ,посадовців/NOUN
поважне/ADJ,щорічне/ADJ,свято/NOUN
100-ї/ADJ,Львівської/ADJ,дивізії/NOUN
Першого/ADJ,Українського/ADJ,фронту/NOUN
найбільших/ADJ,концентраційних/ADJ,таборів/NOUN
оновлених/ADJ,Збройних/ADJ,Сил/NOUN
славетної/ADJ,72-ої/ADJ,бригади/NOUN
спеціалізованій/ADJ,авіакосмічній/ADJ,виставці/NOUN
Міжнародна/ADJ,авіакосмічна/ADJ,виставка/NOUN
провідні/ADJ,світові/ADJ,компанії/NOUN
