lokalni/ADJ,pravni/ADJ,osebi/NOUN
posamezne/ADJ,strokovne/ADJ,sekcije/NOUN
črnske/ADJ,etnične/ADJ,skupnosti/NOUN
modificiranem/ADJ,glasbenem/ADJ,slogu/NOUN
osnoven/ADJ,bluesovski/ADJ,ritual/NOUN
majhnih/ADJ,neodvisnih/ADJ,založb/NOUN
novonastalih/ADJ,radijskih/ADJ,postaj/NOUN
nedavnem/ADJ,mednarodnem/ADJ,turnirju/NOUN
neprijetne/ADJ,novinarske/ADJ,prispevke/NOUN
celjske/ADJ,policijske/ADJ,uprave/NOUN
resnične/ADJ,vladne/ADJ,politike/NOUN
vladna/ADJ,gospodarska/ADJ,politika/NOUN
drugi/ADJ,svetovni/ADJ,vojni/NOUN
najpomembnejših/ADJ,obrestnih/ADJ,mer/NOUN
slovenski/ADJ,kmetijski/ADJ,proračun/NOUN
nadaljnjo/ADJ,kakovostno/ADJ,rast/NOUN
prvi/ADJ,naslednji/ADJ,seji/NOUN
najboljših/ADJ,evropskih/ADJ,ekip/NOUN
sesekljanih/ADJ,bučnih/ADJ,semen/NOUN
Martinova/ADJ,stara/ADJ,mama/NOUN
večinski/ADJ,francoski/ADJ,lastniki/NOUN
višjih/ADJ,poletnih/ADJ,temperaturah/NOUN
znanih/ADJ,slovenskih/ADJ,tednikov/NOUN
Salezijanskega/ADJ,mladinskega/ADJ,centra/NOUN
mladinski/ADJ,pevski/ADJ,zbor/NOUN
domača/ADJ,dramska/ADJ,skupina/NOUN
mešani/ADJ,pevski/ADJ,zbor/NOUN
najlepše/ADJ,božične/ADJ,pesmi/NOUN
Sobotni/ADJ,kulturni/ADJ,večer/NOUN
nasprotnikovi/ADJ,obrambni/ADJ,igralci/NOUN
ogroženih/ADJ,živalskih/ADJ,vrst/NOUN
Glavna/ADJ,zgodovinska/ADJ,posledica/NOUN
samem/ADJ,mestnem/ADJ,središču/NOUN
brezplačnih/ADJ,parkirnih/ADJ,mest/NOUN
partizanski/ADJ,čevljarski/ADJ,delavnici/NOUN
suplementacijski/ADJ,institucionalni/ADJ,proces/NOUN
transkutana/ADJ,električna/ADJ,stimulacija/NOUN
dobro/ADJ,toplotno/ADJ,prevodnost/NOUN
človekova/ADJ,biološka/ADJ,evolucija/NOUN
poznejših/ADJ,pismenih/ADJ,ljudstev/NOUN
starejše/ADJ,kamene/ADJ,dobe/NOUN
indijski/ADJ,vedski/ADJ,mitologiji/NOUN
individualna/ADJ,trubadurska/ADJ,ljubezen/NOUN
pogodbene/ADJ,poslovne/ADJ,enote/NOUN
evropsko/ADJ,potovalno/ADJ,industrijo/NOUN
novemu/ADJ,bikovemu/ADJ,naletu/NOUN
blokovsko/ADJ,čistilno/ADJ,akcijo/NOUN
zla/ADJ,poganska/ADJ,bitja/NOUN
temnem/ADJ,zimskem/ADJ,nebu/NOUN
druge/ADJ,božične/ADJ,dobrote/NOUN
Slavna/ADJ,slovenska/ADJ,potica/NOUN
nepogrešljiva/ADJ,praznična/ADJ,jed/NOUN
starih/ADJ,lesenih/ADJ,sodov/NOUN
kvatrne/ADJ,postne/ADJ,dni/NOUN
prvem/ADJ,dokončanem/ADJ,dnevu/NOUN
osveščeno/ADJ,mlado/ADJ,damo/NOUN
osrednji/ADJ,oktogonalni/ADJ,prostor/NOUN
projicirane/ADJ,virtualne/ADJ,realnosti/NOUN
tradicionalni/ADJ,slikarski/ADJ,postopki/NOUN
devetletne/ADJ,osnovne/ADJ,šole/NOUN
prejšnji/ADJ,ameriški/ADJ,predsednik/NOUN
gladek/ADJ,obmorski/ADJ,asfalt/NOUN
prvi/ADJ,zasledovalni/ADJ,skupini/NOUN
drugačno/ADJ,elektromagnetno/ADJ,vplivanje/NOUN
novega/ADJ,nemškega/ADJ,parlamenta/NOUN
srčni/ADJ,prevodni/ADJ,sistem/NOUN
neustreznega/ADJ,ščitničnega/ADJ,delovanja/NOUN
motenega/ADJ,krvnega/ADJ,pretoka/NOUN
Nenasičene/ADJ,maščobne/ADJ,kisline/NOUN
nenasičene/ADJ,maščobne/ADJ,kisline/NOUN
celotne/ADJ,kalorične/ADJ,vrednosti/NOUN
Svetovna/ADJ,zdravstvena/ADJ,organizacija/NOUN
morebitnih/ADJ,neželenih/ADJ,učinkov/NOUN
visoke/ADJ,energijske/ADJ,gostote/NOUN
zamrznjenih/ADJ,zarodnih/ADJ,celic/NOUN
neplodni/ADJ,mišji/ADJ,samci/NOUN
zarodne/ADJ,spolne/ADJ,celice/NOUN
lepo/ADJ,darilo/NOUN,najbližjim/ADJ
možnimi/ADJ,kratkimi/ADJ,odgovori/NOUN
desnima/ADJ,srčnima/ADJ,polovicama/NOUN
zadnji/ADJ,svetovni/ADJ,vojni/NOUN
povratne/ADJ,otipne/ADJ,informacije/NOUN
učinkovitejše/ADJ,zavorne/ADJ,sisteme/NOUN
svojeglave/ADJ,kraške/ADJ,vode/NOUN
novega/ADJ,kavčukovega/ADJ,platna/NOUN
satelitskega/ADJ,navigacijskega/ADJ,sistema/NOUN
premična/ADJ,nosilna/ADJ,ogrodja/NOUN
navadnega/ADJ,srčnega/ADJ,spodbujevalnika/NOUN
sam/ADJ,elektrodni/ADJ,kateter/NOUN
drugo/ADJ,visokonapetostno/ADJ,elektrodo/NOUN
nepremično/ADJ,tektorialno/ADJ,membrano/NOUN
lasastih/ADJ,slušnih/ADJ,celicah/NOUN
lasaste/ADJ,slušne/ADJ,celice/NOUN
lasaste/ADJ,slušne/ADJ,celice/NOUN
navidezno/ADJ,dnevno/ADJ,vrtenje/NOUN
Aristarhov/ADJ,heliocentrični/ADJ,sistem/NOUN
velikanski/ADJ,kovinski/ADJ,ključ/NOUN
prazne/ADJ,grajske/ADJ,stavbe/NOUN
visokih/ADJ,ledenih/ADJ,vršacev/NOUN
ustrezno/ADJ,programsko/ADJ,opremo/NOUN
običajni/ADJ,mobilni/ADJ,terminali/NOUN
britanski/ADJ,obrambni/ADJ,minister/NOUN
najnovejše/ADJ,nevralgične/ADJ,točke/NOUN
številnimi/ADJ,obnovljenimi/ADJ,cestami/NOUN
težko/ADJ,prometno/ADJ,nesrečo/NOUN
letošnji/ADJ,turistični/ADJ,sezoni/NOUN
Ljubljanski/ADJ,veterinarski/ADJ,inšpektorji/NOUN
velika/ADJ,osebna/ADJ,preizkušnja/NOUN
prejšnjem/ADJ,delovnem/ADJ,mestu/NOUN
druga/ADJ,zmaga/NOUN,Srebotnikove/ADJ
prestižnih/ADJ,mednarodnih/ADJ,institucij/NOUN
Hrvaško/ADJ,seksološko/ADJ,društvo/NOUN
špansko/ADJ,blagovno/ADJ,znamko/NOUN
Španska/ADJ,blagovna/ADJ,znamka/NOUN
najnovejšo/ADJ,dišavno/ADJ,harmonijo/NOUN
sprejetega/ADJ,znanstvenega/ADJ,znanja/NOUN
mnogoterih/ADJ,družbenih/ADJ,časov/NOUN
modernega/ADJ,svetovnega/ADJ,sistema/NOUN
Večkraten/ADJ,dolgi/ADJ,upad/NOUN
novega/ADJ,zgodovinskega/ADJ,sistema/NOUN
pravi/ADJ,sanjski/ADJ,prostovoljec/NOUN
Ruthinih/ADJ,čuječih/ADJ,oči/NOUN
levi/ADJ,smerni/ADJ,kazalec/NOUN
prostovoljnih/ADJ,gasilskih/ADJ,društev/NOUN
pravi/ADJ,turistični/ADJ,biser/NOUN
Mlada/ADJ,nemška/ADJ,deklica/NOUN
svetim/ADJ,rimskim/ADJ,cesarjem/NOUN
drugih/ADJ,nižinskih/ADJ,krajih/NOUN
mogočih/ADJ,svetovnih/ADJ,nesrečah/NOUN
domače/ADJ,založniške/ADJ,hiše/NOUN
osebne/ADJ,prodajne/ADJ,rekorde/NOUN
pomembnimi/ADJ,študijskimi/ADJ,razstavami/NOUN
uglednimi/ADJ,mednarodnimi/ADJ,imeni/NOUN
uglednim/ADJ,britanskim/ADJ,kustosom/NOUN
različnimi/ADJ,barvnimi/ADJ,kombinacijami/NOUN
Letošnje/ADJ,letno/ADJ,poročilo/NOUN
zimskih/ADJ,olimpijskih/ADJ,iger/NOUN
Mednarodnega/ADJ,olimpijskega/ADJ,komiteja/NOUN
osvojena/ADJ,pokalna/ADJ,lovorika/NOUN
prihajajoče/ADJ,tekmovalno/ADJ,leto/NOUN
novih/ADJ,rekordnih/ADJ,dosežkov/NOUN
Mednarodne/ADJ,letalske/ADJ,organizacije/NOUN
letošnje/ADJ,rekordne/ADJ,podvige/NOUN
domnevne/ADJ,dopinške/ADJ,afere/NOUN
avstralsko/ADJ,plavalno/ADJ,zvezo/NOUN
slovenskem/ADJ,političnem/ADJ,preobratu/NOUN
dosedanjega/ADJ,prvega/ADJ,človeka/NOUN
novega/ADJ,hišnega/ADJ,ljubljenčka/NOUN
mastnimi/ADJ,modrimi/ADJ,ribami/NOUN
elegantna/ADJ,uradna/ADJ,utemeljitev/NOUN
slovenskega/ADJ,prometnega/ADJ,ministrstva/NOUN
bolnikovo/ADJ,zdravstveno/ADJ,stanje/NOUN
drugih/ADJ,zdravilnih/ADJ,lastnosti/NOUN
spominski/ADJ,planinski/ADJ,pohod/NOUN
Frankove/ADJ,rdečezlate/ADJ,barve/NOUN
poklopljenem/ADJ,lesenem/ADJ,sedalu/NOUN
majhna/ADJ,kristalna/ADJ,žoga/NOUN
čilsko/ADJ,vrhovno/ADJ,sodišče/NOUN
perujska/ADJ,volilna/ADJ,komisija/NOUN
mariborsko/ADJ,Narodno/ADJ,gledališče/NOUN
mariborski/ADJ,gledališki/ADJ,ansambl/NOUN
številnih/ADJ,turističnih/ADJ,avtobusov/NOUN
Nemški/ADJ,zunanji/ADJ,minister/NOUN
dnevne/ADJ,notranje/ADJ,politike/NOUN
Zgornje/ADJ,Savinjske/ADJ,doline/NOUN
Zgornji/ADJ,Savinjski/ADJ,dolini/NOUN
slovenska/ADJ,komunalna/ADJ,podjetja/NOUN
drage/ADJ,tuje/ADJ,firme/NOUN
Mednarodni/ADJ,tehnološki/ADJ,park/NOUN
novoustanovljena/ADJ,inovacijska/ADJ,podjetja/NOUN
širši/ADJ,strokovni/ADJ,javnosti/NOUN
polnim/ADJ,delovnim/ADJ,časom/NOUN
daljše/ADJ,delovne/ADJ,dobe/NOUN
Antropologovo/ADJ,vprašanje/NOUN,verujočemu/ADJ
določenega/ADJ,miselnega/ADJ,sloga/NOUN
umetne/ADJ,mišične/ADJ,strukture/NOUN
precejšnje/ADJ,investicijske/ADJ,vpletenosti/NOUN
novo/ADJ,šolsko/ADJ,leto/NOUN
drugega/ADJ,slovenskega/ADJ,trenerja/NOUN
novi/ADJ,širši/ADJ,domovini/NOUN
največji/ADJ,možni/ADJ,zaviralec/NOUN
posamezni/ADJ,ekonomski/ADJ,interesi/NOUN
Murinega/ADJ,lendavskega/ADJ,obrata/NOUN
lendavskega/ADJ,občinskega/ADJ,sveta/NOUN
bivših/ADJ,evropskih/ADJ,valut/NOUN
Druga/ADJ,možna/ADJ,delitev/NOUN
srednjeročnega/ADJ,drsečega/ADJ,povprečja/NOUN
prve/ADJ,nakupne/ADJ,naloge/NOUN
nove/ADJ,levosredinske/ADJ,spremembe/NOUN
neoviranim/ADJ,kapitalističnim/ADJ,pohodom/NOUN
evropskem/ADJ,visokošolskem/ADJ,prostoru/NOUN
razširjenih/ADJ,evropskih/ADJ,jezikov/NOUN
natisnjenih/ADJ,digitalnih/ADJ,fotografij/NOUN
pravi/ADJ,profesionalni/ADJ,cirkus/NOUN
organizirano/ADJ,humanitarno/ADJ,pomočjo/NOUN
Novih/ADJ,ženskih/ADJ,skupin/NOUN
skupne/ADJ,evropske/ADJ,valute/NOUN
Evropska/ADJ,centralna/ADJ,banka/NOUN
osrednjo/ADJ,obrestno/ADJ,mero/NOUN
občutnim/ADJ,inflacijskim/ADJ,pritiskom/NOUN
tehnološkem/ADJ,evropskem/ADJ,sektorju/NOUN
Evropski/ADJ,inflacijski/ADJ,pritiski/NOUN
malih/ADJ,mesarskih/ADJ,obratov/NOUN
pravi/ADJ,mali/ADJ,zabavnež/NOUN
najpogostejših/ADJ,napačnih/ADJ,domnev/NOUN
ljubljanskega/ADJ,živalskega/ADJ,vrta/NOUN
boljše/ADJ,življenjske/ADJ,razmere/NOUN
operativno/ADJ,udarno/ADJ,enoto/NOUN
zadnje/ADJ,kadrovske/ADJ,zamenjave/NOUN
zadnji/ADJ,smrtni/ADJ,udarec/NOUN
Majhna/ADJ,okovana/ADJ,vrata/NOUN
Jezusovega/ADJ,rojstnega/ADJ,kraja/NOUN
ameriško/ADJ,javno/ADJ,mnenje/NOUN
edini/ADJ,čečenski/ADJ,voditelj/NOUN
neuspeli/ADJ,predsedniški/ADJ,kandidat/NOUN
neizplačanih/ADJ,denarnih/ADJ,kaznih/NOUN
napovedanih/ADJ,prodajnih/ADJ,centrov/NOUN
sestrinega/ADJ,bednega/ADJ,življenja/NOUN
evropske/ADJ,živalske/ADJ,posebnosti/NOUN
slovenskih/ADJ,sodobnih/ADJ,skladateljev/NOUN
slovenskih/ADJ,ljudskih/ADJ,pesmi/NOUN
spornih/ADJ,finančnih/ADJ,poslov/NOUN
posebna/ADJ,notranja/ADJ,trenja/NOUN
Podobnikov/ADJ,predsedniški/ADJ,stolček/NOUN
prijateljski/ADJ,nogometni/ADJ,tekmi/NOUN
matičnemu/ADJ,parlamentarnemu/ADJ,odboru/NOUN
evropskem/ADJ,parlamentarnem/ADJ,prvenstvu/NOUN
najbližjega/ADJ,azorskega/ADJ,otoka/NOUN
klasičnim/ADJ,italijanskim/ADJ,testeninam/NOUN
slovenski/ADJ,biatlonski/ADJ,reprezentanci/NOUN
ženskega/ADJ,štafetnega/ADJ,nastopa/NOUN
drugi/ADJ,svetovni/ADJ,vojni/NOUN
veljavnega/ADJ,vozniškega/ADJ,dovoljenja/NOUN
pooblaščenih/ADJ,investicijskih/ADJ,družb/NOUN
skupne/ADJ,kmetijske/ADJ,politike/NOUN
javnih/ADJ,poštnih/ADJ,storitev/NOUN
pozitivni/ADJ,finančni/ADJ,učinek/NOUN
kmečka/ADJ,Ljudska/ADJ,stranka/NOUN
povprečno/ADJ,tovrstno/ADJ,stanovanje/NOUN
zanimivo/ADJ,strokovno/ADJ,srečanje/NOUN
obojestransko/ADJ,lepilno/ADJ,folijo/NOUN
prebodeno/ADJ,nosilno/ADJ,polo/NOUN
starega/ADJ,mestnega/ADJ,jedra/NOUN
močnejše/ADJ,gospodarske/ADJ,povezave/NOUN
slovenskim/ADJ,potnim/ADJ,listom/NOUN
starejši/ADJ,stanovanjski/ADJ,hiši/NOUN
zakoličenih/ADJ,strogih/ADJ,ločnic/NOUN
drugih/ADJ,likovnih/ADJ,umetnosti/NOUN
Prirodoslovne/ADJ,matematične/ADJ,fakultete/NOUN
orjaški/ADJ,peščeni/ADJ,uri/NOUN
cesarjevega/ADJ,rojstnega/ADJ,dne/NOUN
Lindstradtovo/ADJ,anodno/ADJ,pištolo/NOUN
uboga/ADJ,prehlajena/ADJ,želva/NOUN
Slovenska/ADJ,kmečka/ADJ,zveza/NOUN
kombinirano/ADJ,nakladalno/ADJ,prikolico/NOUN
zeleni/ADJ,krmni/ADJ,trak/NOUN
hebrejskega/ADJ,univerzitetnega/ADJ,inštituta/NOUN
drugo/ADJ,svetovno/ADJ,vojno/NOUN
pravih/ADJ,orožnih/ADJ,vajah/NOUN
edini/ADJ,popularen/ADJ,kraj/NOUN
pravi/ADJ,nočni/ADJ,klub/NOUN
nekdanji/ADJ,novorokerski/ADJ,program/NOUN
prvi/ADJ,igralski/ADJ,izkušnji/NOUN
prvo/ADJ,svetovno/ADJ,vojno/NOUN
starem/ADJ,newyorškem/ADJ,hipodromu/NOUN
prva/ADJ,prava/ADJ,zvezdnica/NOUN
ameriške/ADJ,drsalne/ADJ,revije/NOUN
poklicnega/ADJ,drsalnega/ADJ,baleta/NOUN
največjo/ADJ,umetnostno/ADJ,drsalko/NOUN
preprosta/ADJ,nabrana/ADJ,krila/NOUN
slovenskih/ADJ,nacionalnih/ADJ,interesov/NOUN
raznih/ADJ,črnih/ADJ,kronikah/NOUN
domače/ADJ,kemične/ADJ,sterilnosti/NOUN
znatna/ADJ,dodatna/ADJ,sredstva/NOUN
tragikomično/ADJ,sklepno/ADJ,dejanje/NOUN
letošnji/ADJ,državni/ADJ,razstavi/NOUN
velikim/ADJ,zaobljenim/ADJ,kljunom/NOUN
vrtljivem/ADJ,gledalčevem/ADJ,prostoru/NOUN
samo/ADJ,skupno/ADJ,identiteto/NOUN
tretji/ADJ,najmočnejši/ADJ,človek/NOUN
možnih/ADJ,negativnih/ADJ,posledic/NOUN
mariborskega/ADJ,študentskega/ADJ,radia/NOUN
slovenski/ADJ,narodni/ADJ,značaj/NOUN
večnih/ADJ,rokometnih/ADJ,prvakov/NOUN
preteklo/ADJ,raznarodovalno/ADJ,politiko/NOUN
nasilnih/ADJ,trgovskih/ADJ,središč/NOUN
italijanskega/ADJ,prvoligaškega/ADJ,kluba/NOUN
italijanska/ADJ,nogometna/ADJ,zveza/NOUN
zaščitena/ADJ,blagovna/ADJ,znamka/NOUN
senzacionalno/ADJ,štafetno/ADJ,zmago/NOUN
ostalimi/ADJ,opravljenimi/ADJ,nalogami/NOUN
generalna/ADJ,državna/ADJ,tožilka/NOUN
dvignjeni/ADJ,vodni/ADJ,zavesi/NOUN
zaščitena/ADJ,blagovna/ADJ,znamka/NOUN
toplejše/ADJ,morske/ADJ,tokove/NOUN
primernih/ADJ,peščenih/ADJ,plaž/NOUN
izvornih/ADJ,peščenih/ADJ,sipin/NOUN
jadranske/ADJ,morske/ADJ,želve/NOUN
ulovljenimi/ADJ,živimi/ADJ,primerki/NOUN
skrivnostnih/ADJ,želvjih/ADJ,poteh/NOUN
morske/ADJ,živalske/ADJ,vrste/NOUN
zmečkane/ADJ,slane/ADJ,sardele/NOUN
pravi/ADJ,plesni/ADJ,center/NOUN
angleških/ADJ,ženskih/ADJ,kolidžev/NOUN
sočasni/ADJ,literarni/ADJ,sceni/NOUN
nova/ADJ,ekonomska/ADJ,politika/NOUN
podjetni/ADJ,turistični/ADJ,delavci/NOUN
Levovo/ADJ,seksualno/ADJ,tehniko/NOUN
nežni/ADJ,ljubezenski/ADJ,ugrizi/NOUN
premične/ADJ,kulturne/ADJ,dediščine/NOUN
Koroški/ADJ,pokrajinski/ADJ,muzej/NOUN
nekdanje/ADJ,mestne/ADJ,hiše/NOUN
kreditno/ADJ,monetarno/ADJ,politiko/NOUN
univerzalnega/ADJ,otroškega/ADJ,dodatka/NOUN
potrebno/ADJ,normativno/ADJ,podlago/NOUN
splošni/ADJ,pokrajinski/ADJ,muzej/NOUN
premične/ADJ,kulturne/ADJ,dediščine/NOUN
bruto/ADJ,nacionalnem/ADJ,dohodku/NOUN
posebnimi/ADJ,elektroprevodnimi/ADJ,elektrodami/NOUN
Temeljnega/ADJ,javnega/ADJ,tožilstva/NOUN
velike/ADJ,centralnoalpske/ADJ,ture/NOUN
vsakdanjem/ADJ,delovnem/ADJ,okolju/NOUN
drugačnim/ADJ,kulturnim/ADJ,ozadjem/NOUN
dobre/ADJ,medosebne/ADJ,odnose/NOUN
identificirajoča/ADJ,genitivna/ADJ,metafora/NOUN
edini/ADJ,utrjeni/ADJ,stezi/NOUN
ozke/ADJ,lesene/ADJ,brvi/NOUN
meglenega/ADJ,jutranjega/ADJ,mraka/NOUN
položno/ADJ,snežno/ADJ,rez/NOUN
izrazitega/ADJ,skalnega/ADJ,roglja/NOUN
umetniških/ADJ,avtorskih/ADJ,del/NOUN
temna/ADJ,oblačna/ADJ,fronta/NOUN
prva/ADJ,režiserska/ADJ,poteza/NOUN
idiotskega/ADJ,spodnjega/ADJ,rakurza/NOUN
Mlačni/ADJ,poletni/ADJ,veter/NOUN
večinske/ADJ,levičarske/ADJ,vlade/NOUN
prvih/ADJ,volilnih/ADJ,rezultatov/NOUN
legendarni/ADJ,hrvaški/ADJ,vratar/NOUN
podobne/ADJ,jurišne/ADJ,hrane/NOUN
poslednja/ADJ,dnevna/ADJ,luč/NOUN
skupinsko/ADJ,pedagoško/ADJ,delo/NOUN
gospodarske/ADJ,javne/ADJ,službe/NOUN
Hrvaško/ADJ,kmečko/ADJ,stranko/NOUN
drugačne/ADJ,investicijske/ADJ,načrte/NOUN
Mednarodna/ADJ,atletska/ADJ,zveza/NOUN
celoten/ADJ,zmagoviti/ADJ,delež/NOUN
drugi/ADJ,ameriški/ADJ,sezoni/NOUN
slovenski/ADJ,javni/ADJ,mediji/NOUN
načrtovanih/ADJ,proračunskih/ADJ,presežkov/NOUN
novih/ADJ,individualnih/ADJ,računov/NOUN
najboljših/ADJ,slovarskih/ADJ,založb/NOUN
Pravi/ADJ,divji/ADJ,zagon/NOUN
OBSTOJEČO/ADJ,DRŽAVNO/ADJ,UREDITEV/NOUN
NECIVILNOPRAVNEMU/ADJ,POGODBENEMU/ADJ,RAZMERJU/NOUN
SAMOSTOJNO/ADJ,PRAVNO/ADJ,NARAVO/NOUN
DRUGIH/ADJ,DRŽAVNIH/ADJ,ORGANIH/NOUN
SPREMENJENA/ADJ,DELOVNA/ADJ,ZMOŽNOST/NOUN
REDNEGA/ADJ,DELOVNEGA/ADJ,RAZMERJA/NOUN
MINIMALNI/ADJ,ODPOVEDNI/ADJ,ROK/NOUN
DELUJOČEGA/ADJ,SOCIALNEGA/ADJ,PARTNERSTVA/NOUN
POSAMEZNIMI/ADJ,PLAČNIMI/ADJ,PODSKUPINAMI/NOUN
OPRAVLJENEM/ADJ,NADURNEM/ADJ,DELU/NOUN
POLNIM/ADJ,DELOVNIM/ADJ,ČASOM/NOUN
SODOBNE/ADJ,ZAKONSKE/ADJ,UREDITVE/NOUN
Mednarodni/ADJ,denarni/ADJ,sklad/NOUN
prejšnji/ADJ,goriški/ADJ,župan/NOUN
visok/ADJ,skalnat/ADJ,pomol/NOUN
neštetih/ADJ,sivih/ADJ,odtenkov/NOUN
