klein/ADJ,swart-wit/ADJ,televisie/NOUN
nodige/ADJ,ondersteunende/ADJ,dokumente/NOUN
eksklusiewe/ADJ,ekonomiese/ADJ,sone/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
verskeie/ADJ,sosiale/ADJ,kontekste/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
uiteenlopende/ADJ,kontekstuele/ADJ,faktore/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
nasionale/ADJ,Suid-Afrikaanse/ADJ,identiteit/NOUN
addisionele/ADJ,amptelike/ADJ,taal/NOUN
ander/ADJ,belangrike/ADJ,geletterdheidsvorme/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
Hersiene/ADJ,Nasionale/ADJ,Kurrikulumverklaring/NOUN
spesifieke/ADJ,sterk/ADJ,punte/NOUN
ander/ADJ,belanghebbende/ADJ,persoon/NOUN
volledige/ADJ,voorgestelde/ADJ,proefprotokol/NOUN
ander/ADJ,belanghebbende/ADJ,persoon/NOUN
ander/ADJ,geakkrediteerde/ADJ,laboratorium/NOUN
Oranje/ADJ,Internasionale/ADJ,Sertifikaat/NOUN
betrokke/ADJ,buitelandse/ADJ,outoriteit/NOUN
betrokke/ADJ,provinsiale/ADJ,kantoor/NOUN
ernstige/ADJ,liggaamlike/ADJ,leed/NOUN
Suid-Afrikaanse/ADJ,Nasionale/ADJ,Verdedigingsmag/NOUN
geregistreerde/ADJ,voorlopige/ADJ,belastingbetalers/NOUN
beraamde/ADJ,belasbare/ADJ,inkomste/NOUN
eerste/ADJ,voorlopige/ADJ,belastingbetaling/NOUN
nodige/ADJ,ondersteunende/ADJ,dokumente/NOUN
ondertekende/ADJ,geskrewe/ADJ,onderneming/NOUN
beraamde/ADJ,belasbare/ADJ,inkomste/NOUN
betrokke/ADJ,opvoedkundige/ADJ,owerheid/NOUN
gestorwe/ADJ,swart/ADJ,persoon/NOUN
toepaslike/ADJ,Professionele/ADJ,Adviesraad/NOUN
hoogaangeskrewe/ADJ,nasionale/ADJ,ordes/NOUN
bruto/ADJ,binnelandse/ADJ,produk/NOUN
basiese/ADJ,volwasse/ADJ,onderrig/NOUN
plaaslike/ADJ,ekonomiese/ADJ,ontwikkeling/NOUN
spesiale/ADJ,lae/ADJ,tarief/NOUN
