սոցիալական/ADJ,որոշակի/ADJ,անարդարության/NOUN
Գևորգյան/ADJ,հոգևոր/ADJ,ճեմարանի/NOUN
Արարատյան/ADJ,նախամեծար/ADJ,Աթոռի/NOUN
ներկա/ADJ,հավատավոր/ADJ,ժողովուրդն/NOUN
հրաշալի/ADJ,դերասանական/ADJ,կազմ/NOUN
ժամանակակից/ADJ,ռեակտիվ/ADJ,ինքնաթիռներով/NOUN
ճանապարհորդական/ADJ,թեթև/ADJ,պայուսակներից/NOUN
կարող/ADJ,քաղաքական/ADJ,ուժ/NOUN
հայոց/ADJ,արքայական/ADJ,տոհմերից/NOUN
հրեղեն/ADJ,սպիտակ/ADJ,ձիով/NOUN
առափնյա/ADJ,մունջ/ADJ,ժայռերի/NOUN
անվանի/ADJ,հայ/ADJ,գրող/NOUN
Ազգային/ADJ,վիճակագրական/ADJ,ծառայության/NOUN
խոշոր/ADJ,առևտրային/ADJ,գործընկերը/NOUN
կանաչ/ADJ,շալ/ADJ,կտորը/NOUN
կանաչ/ADJ,շալ/ADJ,կտորը/NOUN
միամիտ/ADJ,հայ/ADJ,ժողովուրդ/NOUN
գերեզմանակուր/ADJ,վաղնջական/ADJ,աշխարհի/NOUN
կուտակային/ADJ,կենսաթոշակային/ADJ,համակարգը/NOUN
զգալի/ADJ,բացասական/ADJ,ազդեցություն/NOUN
կանոնավոր/ADJ,կառուցվածքային/ADJ,բարեփոխումներ/NOUN
կայուն/ADJ,տնտեսական/ADJ,աճ/NOUN
ռազմական/ADJ,լայնածավալ/ADJ,բախման/NOUN
ռազմական/ADJ,փոխադարձ/ADJ,հարվածների/NOUN
կոնսենսուսային/ADJ,բացառիկ/ADJ,իրավիճակի/NOUN
պետական/ADJ,էֆեկտիվ/ADJ,քաղաքականության/NOUN
կարճ/ADJ,վավերագրական/ADJ,ֆիլմ/NOUN
ներառական/ADJ,պարային/ADJ,ներկայացում/NOUN
բնապահպանական/ADJ,առաջին/ADJ,ցույցից/NOUN
առաջին/ADJ,էկոլոգիական/ADJ,ցույցը/NOUN
Առաջին/ADJ,բնապահպանական/ADJ,ցույցին/NOUN
խորհրդային/ADJ,հայ/ADJ,ժողովուրդը/NOUN
հողային/ADJ,արդարացի/ADJ,պահանջը/NOUN
արգանդային/ADJ,անդարդ/ADJ,կայֆերին/NOUN
եզակի/ADJ,խոշոր/ADJ,նախագծերից/NOUN
նոր/ADJ,տարանցիկ/ADJ,գազամուղի/NOUN
տնտեսական/ADJ,վատ/ADJ,վիճակն/NOUN
վարկային/ADJ,հավելյալ/ADJ,բեռի/NOUN
ամերիկյան/ADJ,ռազմական/ADJ,ներկայությունը/NOUN
ռազմավարական/ADJ,կարևոր/ADJ,դիրքերի/NOUN
ղարաբաղյան/ADJ,հնարավոր/ADJ,կարգավորման/NOUN
քաղաքական/ADJ,ընդհանուր/ADJ,գործընթացի/NOUN
կարևոր/ADJ,քաղաքական/ADJ,ռեսուրս/NOUN
հետևյալ/ADJ,քաղաքական/ADJ,խնդիրները/NOUN
արտաքին/ADJ,շահագրգիռ/ADJ,կողմերի/NOUN
հայկական/ADJ,քաղաքական/ADJ,կուսակցությունների/NOUN
օտարերկրյա/ADJ,իրավաբանական/ADJ,անձանց/NOUN
սեփական/ADJ,երկար/ADJ,եղունգներով/NOUN
ազգային/ADJ,վիճակագրական/ADJ,ծառայության/NOUN
լատինական/ADJ,ծեծված/ADJ,ասացվածքներ/NOUN
նախկին/ADJ,դաժան/ADJ,արքաների/NOUN
հակաքարոզչական/ADJ,զանգվածային/ADJ,հաղորդումներ/NOUN
ֆրանսիական/ADJ,սահմանադրաիրավական/ADJ,պրակտիկայում/NOUN
նախագահական/ADJ,նոր/ADJ,ընտրությունների/NOUN
ընտրական/ADJ,հետագա/ADJ,գործընթացներին/NOUN
հակաքարոզչական/ADJ,զանգվածային/ADJ,հաղորդումներ/NOUN
Կենտրոնական/ADJ,ընտրական/ADJ,հանձնաժողովն/NOUN
կենտրոնական/ADJ,ընտրական/ADJ,հանձնաժողովը/NOUN
կենտրոնական/ADJ,ընտրական/ADJ,հանձնաժողովից/NOUN
կենտրոնական/ADJ,ընտրական/ADJ,հանձնաժողով/NOUN
կենտրոնական/ADJ,ընտրական/ADJ,հանձնաժողովի/NOUN
ցանկացած/ADJ,ձևական/ADJ,մոտեցում/NOUN
զինվորական/ADJ,սուրհանդակափոստային/ADJ,կապի/NOUN
զինվորական/ADJ,սուրհանդակափոստային/ADJ,կապի/NOUN
Նորմատիվ/ADJ,իրավական/ADJ,ակտերի/NOUN
Նորմատիվ/ADJ,իրավական/ADJ,ակտերի/NOUN
հետագա/ADJ,ծանր/ADJ,հանցագործությունների/NOUN
հսկայական/ADJ,երաժշտական/ADJ,կենտրոնը/NOUN
կապտասև/ADJ,մեծ/ADJ,ճաք/NOUN
վիթխարի/ADJ,սև/ADJ,ագռավ/NOUN
Նոր/ADJ,եկեղեցական/ADJ,երկնաքերը/NOUN
մարդասիրական/ADJ,մասնագիտական/ADJ,օժանդակություն/NOUN
հումանիտար/ADJ,ծանր/ADJ,վիճակը/NOUN
մեծաթիվ/ADJ,հայկական/ADJ,համայնքի/NOUN
մարդասիրական/ADJ,մասնագիտական/ADJ,օժանդակություն/NOUN
ներառական/ADJ,տնտեսական/ADJ,աճի/NOUN
Հայ/ADJ,Հեղափոխական/ADJ,Դաշնակցության/NOUN
33-րդ/ADJ,Ընդհանուր/ADJ,ժողովի/NOUN
պատմական/ADJ,մեծ/ADJ,ուղի/NOUN
Հայ/ADJ,Հեղափոխական/ADJ,Դաշնակցության/NOUN
33-րդ/ADJ,Ընդհանուր/ADJ,ժողովից/NOUN
տարբեր/ADJ,ներդրումային/ADJ,ծրագրերի/NOUN
խոշոր/ADJ,ներդրումային/ADJ,ծրագիր/NOUN
շվեյցարահայ/ADJ,հայտնի/ADJ,գործարար/NOUN
բազմաթիվ/ADJ,արհեստագործական/ADJ,ուսումնարանները/NOUN
երևանցի/ADJ,բազմահազար/ADJ,ջահելները/NOUN
աշխատանքային/ADJ,անհատական/ADJ,պլան/NOUN
բազմահազարանոց/ADJ,երևանյան/ADJ,բանակի/NOUN
հեռավոր/ADJ,նախապատերազմյան/ADJ,ժամանակներում/NOUN
հոբելյանական/ADJ,շքեղ/ADJ,հրատարակությունը/NOUN
սեփական/ADJ,մեծ/ADJ,ընտանիքը/NOUN
ալեխառը/ADJ,խիտ/ADJ,մազերով/NOUN
ծառայողական/ADJ,մեծ/ADJ,գլխարկը/NOUN
գյուղական/ADJ,անվարձ/ADJ,մշակությունը/NOUN
կոլխոզային/ADJ,օրինակելի/ADJ,կանոնադրությանը/NOUN
թափանցիկ/ADJ,կապույտ/ADJ,երակի/NOUN
թափանցիկ/ADJ,կապույտ/ADJ,երակը/NOUN
պատկառելի/ADJ,հայ/ADJ,համայնք/NOUN
ընտրական/ADJ,երկրորդ/ADJ,փուլը/NOUN
ֆինանսական/ADJ,ծանր/ADJ,իրավիճակը/NOUN
իրական/ADJ,բասկետբոլային/ADJ,բում/NOUN
