reliģiozajiem/ADJ,mazturīgo/ADJ,slāņiem/NOUN
lielas/ADJ,dzeltenas/ADJ,aploksnes/NOUN
lielajām/ADJ,dzeltenajām/ADJ,aploksnēm/NOUN
pirmās/ADJ,baltās/ADJ,aploksnes/NOUN
jaunu/ADJ,dzeltenu/ADJ,aploksni/NOUN
nelielu/ADJ,kosmisko/ADJ,kuģi/NOUN
mistiska/ADJ,dzīva/ADJ,radība/NOUN
brīnumainā/ADJ,melnā/ADJ,cilindra/NOUN
komplicētas/ADJ,mehāniskas/ADJ,palīgierīces/NOUN
dažādās/ADJ,sabiedriskajās/ADJ,organizācijās/NOUN
vispārējās/ADJ,ekonomiskās/ADJ,intereses/NOUN
vispārējās/ADJ,ekonomiskās/ADJ,intereses/NOUN
vienotas/ADJ,vizuālās/ADJ,identitātes/NOUN
negatīvās/ADJ,sociālās/ADJ,sekas/NOUN
sabiedriska/ADJ,konsultatīva/ADJ,institūcija/NOUN
Nacionālie/ADJ,bruņotie/ADJ,spēki/NOUN
Nacionālo/ADJ,bruņoto/ADJ,spēku/NOUN
Nacionālo/ADJ,bruņoto/ADJ,spēku/NOUN
jaunu/ADJ,teritoriālo/ADJ,vienību/NOUN
pozitīvu/ADJ,atgriezenisko/ADJ,saiti/NOUN
individuālajām/ADJ,dzīvojamajām/ADJ,mājām/NOUN
algotu/ADJ,pagaidu/ADJ,darbu/NOUN
neatliekamo/ADJ,medicīnisko/ADJ,palīdzību/NOUN
tālu/ADJ,eksotisku/ADJ,ceļojumu/NOUN
Pēdējās/ADJ,ceļojošās/ADJ,kāpas/NOUN
melnbaltu/ADJ,raibu/ADJ,attēlu/NOUN
dažādos/ADJ,interesantos/ADJ,pasākumos/NOUN
Neatliekamās/ADJ,medicīniskās/ADJ,palīdzības/NOUN
vienīgā/ADJ,īpašā/ADJ,sieviete/NOUN
skaistā/ADJ,mežainā/ADJ,vietā/NOUN
dažādu/ADJ,literāru/ADJ,balvu/NOUN
labākās/ADJ,dramatiskās/ADJ,izrādes/NOUN
vienādos/ADJ,pelēkos/ADJ,uzvalkos/NOUN
lielus/ADJ,finansiālus/ADJ,zaudējumus/NOUN
starptautiskajā/ADJ,zinātniskajā/ADJ,konferencē/NOUN
mūžīgajā/ADJ,apaļajā/ADJ,gultā/NOUN
dziļākas/ADJ,cilvēciskas/ADJ,komunikācijas/NOUN
dažādas/ADJ,jaunas/ADJ,izstādes/NOUN
sarežģītus/ADJ,politiskos/ADJ,kompromisus/NOUN
plānu/ADJ,metālisku/ADJ,plāksnīšu/NOUN
Nacionālo/ADJ,botānisko/ADJ,dārzu/NOUN
jaunas/ADJ,civilas/ADJ,konstitūcijas/NOUN
profesionālu/ADJ,sociālo/ADJ,darbinieku/NOUN
trešā/ADJ,Svētā/ADJ,Mise/NOUN
noteiktiem/ADJ,rezultatīviem/ADJ,rādītājiem/NOUN
skaidras/ADJ,stratēģiskas/ADJ,vīzijas/NOUN
smaga/ADJ,ekonomiskā/ADJ,krīze/NOUN
neatkarīgs/ADJ,starptautisks/ADJ,būvuzraugs/NOUN
nopietnas/ADJ,ekoloģiskas/ADJ,problēmas/NOUN
konstantā/ADJ,traumatiskā/ADJ,stāvoklī/NOUN
obligātā/ADJ,teorētiskā/ADJ,apmācība/NOUN
nemateriālo/ADJ,kultūrvēsturisko/ADJ,mantojumu/NOUN
piekto/ADJ,labāko/ADJ,rezultātu/NOUN
vēsturisku/ADJ,zaļo/ADJ,teritoriju/NOUN
pirmais/ADJ,melnādainais/ADJ,prezidents/NOUN
aktīvs/ADJ,fizisks/ADJ,darbs/NOUN
izteiksmīgu/ADJ,dekoratīvo/ADJ,risinājumu/NOUN
visļaunākās/ADJ,iespējamās/ADJ,situācijas/NOUN
visādus/ADJ,muļķīgus/ADJ,detektīvus/NOUN
kritiskā/ADJ,galējā/ADJ,robeža/NOUN
dažādu/ADJ,slavenu/ADJ,mākslinieku/NOUN
dažādām/ADJ,sportiskām/ADJ,aktivitātēm/NOUN
Pirmā/ADJ,īslaicīgā/ADJ,demonstrācija/NOUN
Augstākos/ADJ,literāros/ADJ,kursus/NOUN
nelieli/ADJ,individuālie/ADJ,projekti/NOUN
inovatīvi/ADJ,tehniskie/ADJ,risinājumi/NOUN
līdzšinējā/ADJ,profesionālajā/ADJ,karjerā/NOUN
ievērojamus/ADJ,sociālos/ADJ,pabalstus/NOUN
nepieciešamās/ADJ,strukturālās/ADJ,reformas/NOUN
unikālu/ADJ,solidāru/ADJ,rīcību/NOUN
milzīga/ADJ,molekulārā/ADJ,mākoņa/NOUN
pirmās/ADJ,praktiskās/ADJ,iemaņas/NOUN
dažādos/ADJ,interesantos/ADJ,veidos/NOUN
individuālais/ADJ,bioloģiskais/ADJ,ritms/NOUN
mīļāko/ADJ,alkoholisko/ADJ,dzērienu/NOUN
dīvaino/ADJ,transpersonālo/ADJ,fenomenu/NOUN
pirmais/ADJ,melnādainais/ADJ,aktieris/NOUN
Pirmās/ADJ,patīkamās/ADJ,pārmaiņas/NOUN
vienīgo/ADJ,iespējamo/ADJ,ceļu/NOUN
lielāko/ADJ,ekonomisko/ADJ,krīzi/NOUN
pirmais/ADJ,lielais/ADJ,streiks/NOUN
pusgrauztas/ADJ,baltās/ADJ,šokolādes/NOUN
Izcilā/ADJ,vokālā/ADJ,pedagoģe/NOUN
trūcīgā/ADJ,melno/ADJ,vairākuma/NOUN
konkrēta/ADJ,tiesiskā/ADJ,regulējuma/NOUN
ierasto/ADJ,silto/ADJ,dušu/NOUN
visādā/ADJ,citādā/ADJ,ziņā/NOUN
oficiālu/ADJ,militāru/ADJ,atbalstu/NOUN
vienīgā/ADJ,nopietnā/ADJ,tēze/NOUN
vienīgā/ADJ,parlamentārā/ADJ,institūcija/NOUN
veco/ADJ,filozofisko/ADJ,domu/NOUN
vissekmīgākajiem/ADJ,muzikālajiem/ADJ,uzvedumiem/NOUN
iespējamām/ADJ,bīstamajām/ADJ,sekām/NOUN
konkrētus/ADJ,preventīvus/ADJ,soļus/NOUN
jauno/ADJ,psihoaktīvo/ADJ,vielu/NOUN
zemām/ADJ,pirmajām/ADJ,iemaksām/NOUN
kopīgu/ADJ,labēju/ADJ,valdību/NOUN
labāka/ADJ,ekonomiskā/ADJ,labklājība/NOUN
algotu/ADJ,intelektuālo/ADJ,darbu/NOUN
Līdzīga/ADJ,negatīva/ADJ,ietekme/NOUN
noderīgs/ADJ,visaptverošs/ADJ,termins/NOUN
kopējo/ADJ,ekonomisko/ADJ,izaugsmi/NOUN
ārējiem/ADJ,ekonomiskiem/ADJ,satricinājumiem/NOUN
Etniskā/ADJ,politiskā/ADJ,mobilizācija/NOUN
konkrēto/ADJ,militāro/ADJ,konfliktu/NOUN
plašākas/ADJ,reģionālās/ADJ,problēmas/NOUN
vietējām/ADJ,tiesībsargājošajām/ADJ,iestādēm/NOUN
Nacionālo/ADJ,bruņoto/ADJ,spēku/NOUN
savstarpējo/ADJ,militāro/ADJ,integrāciju/NOUN
starptautiskajās/ADJ,militārajās/ADJ,operācijās/NOUN
konkrēto/ADJ,politisko/ADJ,vidi/NOUN
atšķirīgās/ADJ,ārpolitiskās/ADJ,koncepcijas/NOUN
jaunu/ADJ,instruktīvu/ADJ,vēstuli/NOUN
kvalitatīvākas/ADJ,biogrāfiskās/ADJ,intervijas/NOUN
ievērojamas/ADJ,demogrāfiskās/ADJ,svārstības/NOUN
augstāko/ADJ,pedagoģisko/ADJ,izglītību/NOUN
labāka/ADJ,ekonomiskā/ADJ,situācija/NOUN
dažādu/ADJ,sociālo/ADJ,faktoru/NOUN
nepieciešamo/ADJ,pedagoģisko/ADJ,darbinieku/NOUN
konkrētās/ADJ,administratīvajās/ADJ,teritorijās/NOUN
nepieciešamo/ADJ,pedagoģisko/ADJ,darbinieku/NOUN
nepieciešamo/ADJ,pedagoģisko/ADJ,darbinieku/NOUN
patreizējā/ADJ,pedagoģiskā/ADJ,personāla/NOUN
ievērojamu/ADJ,ekonomisko/ADJ,efektu/NOUN
pirmais/ADJ,nozīmīgais/ADJ,notikums/NOUN
