детском/ADJ,фантастическом/ADJ,фильме/NOUN
родном/ADJ,родительском/ADJ,селе/NOUN
буддийскими/ADJ,санскритскими/ADJ,текстами/NOUN
жизни/NOUN,настоящей/ADJ,земной/ADJ
Украинский/ADJ,медицинский/ADJ,лицей/NOUN
11-му/ADJ,строительному/ADJ,тресту/NOUN
древней/ADJ,бронзовой/ADJ,скульптуры/NOUN
живого/ADJ,концертного/ADJ,выступления/NOUN
Нового/ADJ,общего/ADJ,каталога/NOUN
Второй/ADJ,мировой/ADJ,войны/NOUN
удопочитаемый/ADJ,английский/ADJ,перевод/NOUN
ортодоксальная/ADJ,двухходовая/ADJ,задача/NOUN
Николаевским/ADJ,цементным/ADJ,заводом/NOUN
заполярному/ADJ,сибирскому/ADJ,городу/NOUN
коллекционных/ADJ,почтовых/ADJ,марок/NOUN
генерализованную/ADJ,уртикарную/ADJ,сыпь/NOUN
российской/ADJ,космической/ADJ,программы/NOUN
солнечно-ориентированных/ADJ,космических/ADJ,аппаратов/NOUN
популярное/ADJ,туристическое/ADJ,направление/NOUN
Богдановского/ADJ,сельского/ADJ,поселения/NOUN
болотистой/ADJ,юго-западной/ADJ,части/NOUN
инопланетный/ADJ,космический/ADJ,корабль/NOUN
различных/ADJ,инерциальных/ADJ,системах/NOUN
юбилейного/ADJ,театрализованного/ADJ,вечера/NOUN
дневной/ADJ,мыльной/ADJ,опере/NOUN
космологическим/ADJ,красным/ADJ,смещением/NOUN
известного/ADJ,французского/ADJ,учёного/NOUN
великим/ADJ,правовым/ADJ,системам/NOUN
современной/ADJ,правовой/ADJ,карты/NOUN
Российско-Армянском/ADJ,государственном/ADJ,университете/NOUN
Священной/ADJ,Римской/ADJ,империи/NOUN
Южных/ADJ,Оркнейских/ADJ,островов/NOUN
Октябрьской/ADJ,железной/ADJ,дороги/NOUN
Основные/ADJ,экологические/ADJ,проблемы/NOUN
Демьяновское/ADJ,городское/ADJ,поселение/NOUN
Священной/ADJ,Римской/ADJ,империи/NOUN
российского/ADJ,лесопромышленного/ADJ,бизнеса/NOUN
глубоких/ADJ,мягких/ADJ,тканях/NOUN
добровольческое/ADJ,военное/ADJ,формирование/NOUN
Финский/ADJ,добровольческий/ADJ,батальон/NOUN
второй/ADJ,мировой/ADJ,войны/NOUN
немецкого/ADJ,торгового/ADJ,дома/NOUN
Многие/ADJ,местные/ADJ,жители/NOUN
первый/ADJ,совместный/ADJ,титул/NOUN
Шатурском/ADJ,муниципальном/ADJ,районе/NOUN
известных/ADJ,парапланерных/ADJ,компаний/NOUN
Кодаро-Удоканской/ADJ,структурно-формационной/ADJ,зоне/NOUN
высший/ADJ,законодательный/ADJ,акт/NOUN
первых/ADJ,студенческих/ADJ,общежитий/NOUN
сольное/ADJ,ариозно-речитативное/ADJ,пение/NOUN
94-й/ADJ,м./ADJ,г/NOUN
Бэллевьюльской/ADJ,психиатрической/ADJ,больнице/NOUN
крупных/ADJ,земельных/ADJ,собственников/NOUN
еврейских/ADJ,молитвенных/ADJ,дома/NOUN
крупных/ADJ,буддийских/ADJ,монастырей/NOUN
американских/ADJ,трёхосных/ADJ,автомобилей/NOUN
Сомалийского/ADJ,демократического/ADJ,фронта/NOUN
Сомалийского/ADJ,национального/ADJ,движения/NOUN
Свято-Сергиевском/ADJ,богословском/ADJ,институте/NOUN
различным/ADJ,христианским/ADJ,конфессиям/NOUN
Передвижная/ADJ,механизированная/ADJ,колонна/NOUN
крупном/ADJ,валютном/ADJ,спекулянте/NOUN
Ступенчатый/ADJ,спиралеобразный/ADJ,фонарь/NOUN
1-м/ADJ,полусреднем/ADJ,весе/NOUN
2-го/ADJ,Украинского/ADJ,фронта/NOUN
некоммерческих/ADJ,операционных/ADJ,систем/NOUN
русской/ADJ,поместной/ADJ,церкви/NOUN
международный/ADJ,политический/ADJ,скандал/NOUN
Советское/ADJ,молодёжное/ADJ,движение/NOUN
Первой/ADJ,мировой/ADJ,войны/NOUN
коалиционное/ADJ,Временное/ADJ,Правительство/NOUN
американский/ADJ,независимый/ADJ,режиссёр/NOUN
светового/ADJ,чихательного/ADJ,рефлекса/NOUN
влажными/ADJ,холодными/ADJ,показателями/NOUN
отечественной/ADJ,классической/ADJ,литературы/NOUN
русской/ADJ,художественной/ADJ,литературы/NOUN
будущим/ADJ,серебряным/ADJ,призёрам/NOUN
последней/ADJ,восьмицилиндровой/ADJ,моделью/NOUN
современной/ADJ,западной/ADJ,экономике/NOUN
Белорусским/ADJ,государственным/ADJ,университетом/NOUN
многотомном/ADJ,энциклопедическом/ADJ,издании/NOUN
Немецкой/ADJ,демократической/ADJ,партии/NOUN
новых/ADJ,профсоюзных/ADJ,организаций/NOUN
Областной/ADJ,краеведческий/ADJ,музей/NOUN
академическое/ADJ,художественное/ADJ,образование/NOUN
Отдельная/ADJ,тематическая/ADJ,группа/NOUN
немецкого/ADJ,актерского/ADJ,мастерства/NOUN
другими/ADJ,мотрильскими/ADJ,мучениками/NOUN
Пражский/ADJ,симфонический/ADJ,оркестр/NOUN
устойчивую/ADJ,корневую/ADJ,систему/NOUN
однолетние/ADJ,укорененные/ADJ,черенки/NOUN
яркой/ADJ,экзотической/ADJ,необычностью/NOUN
Ря́бовское/ADJ,городско́е/ADJ,поселе́ние/NOUN
деревянные/ADJ,наземные/ADJ,здания/NOUN
самостоятельные/ADJ,эволюционные/ADJ,пути/NOUN
Второй/ADJ,ливанской/ADJ,войны/NOUN
специализированным/ADJ,противотанковым/ADJ,орудием/NOUN
Древнейшие/ADJ,ископаемые/ADJ,представители/NOUN
свободным/ADJ,программным/ADJ,обеспечением/NOUN
положительными/ADJ,перитонеальными/ADJ,явлениями/NOUN
обратного/ADJ,биномиального/ADJ,распределения/NOUN
иная/ADJ,кредитная/ADJ,организация/NOUN
Первой/ADJ,мировой/ADJ,войны/NOUN
итальянский/ADJ,линейный/ADJ,флот/NOUN
Великой/ADJ,Отечественной/ADJ,войны/NOUN
настоящим/ADJ,реальным/ADJ,миром/NOUN
других/ADJ,мешотчатых/ADJ,крыс/NOUN
синтетических/ADJ,эластичных/ADJ,колготок/NOUN
американский/ADJ,телевизионный/ADJ,сценарист/NOUN
мифологический/ADJ,небесный/ADJ,замок/NOUN
Второй/ADJ,Чехо-Словацкой/ADJ,республики/NOUN
Объединённая/ADJ,авиастроительная/ADJ,корпорация/NOUN
крупнейшие/ADJ,самолётостроительные/ADJ,предприятия/NOUN
профильных/ADJ,интегрированных/ADJ,структурах/NOUN
хорошие/ADJ,критические/ADJ,обозрения/NOUN
обычные/ADJ,шведские/ADJ,дети/NOUN
именитом/ADJ,испанском/ADJ,клубе/NOUN
высшего/ADJ,технического/ADJ,образования/NOUN
Ташкентский/ADJ,химико-технологический/ADJ,институт/NOUN
Ташкентского/ADJ,политехнического/ADJ,института/NOUN
Американской/ADJ,театральной/ADJ,консерватории/NOUN
заключительное/ADJ,пленарное/ADJ,заседание/NOUN
мариупольских/ADJ,греческих/ADJ,диалектов/NOUN
истинный/ADJ,эндогенный/ADJ,алкоголь/NOUN
условный/ADJ,эндогенный/ADJ,алкоголь/NOUN
американское/ADJ,государственное/ADJ,Управление/NOUN
верхние/ADJ,дыхательные/ADJ,пути/NOUN
Киевской/ADJ,духовной/ADJ,академии/NOUN
домашнее/ADJ,начальное/ADJ,образование/NOUN
олонецкими/ADJ,горными/ADJ,заводами/NOUN
старинного/ADJ,шотландского/ADJ,рода/NOUN
Верхневолжскому/ADJ,бассейновому/ADJ,округу/NOUN
государственного/ADJ,водного/ADJ,реестра/NOUN
Рабоче-крестьянской/ADJ,Красной/ADJ,Армии/NOUN
Святой/ADJ,Римской/ADJ,Церкви/NOUN
Салаватской/ADJ,городской/ADJ,типографии/NOUN
последнего/ADJ,грузинского/ADJ,царя/NOUN
шведская/ADJ,полевая/ADJ,почта/NOUN
Санкт-Петербургскую/ADJ,духовную/ADJ,академию/NOUN
Литовской/ADJ,духовной/ADJ,семинарии/NOUN
Волгоградском/ADJ,судостроительном/ADJ,заводе/NOUN
тщательное/ADJ,медицинское/ADJ,обследование/NOUN
Озерского/ADJ,сельского/ADJ,поселения/NOUN
Известный/ADJ,английский/ADJ,исследователь/NOUN
ранние/ADJ,черепно-мозговые/ADJ,травмы/NOUN
ранних/ADJ,черепно-мозговых/ADJ,травм/NOUN
соответствующим/ADJ,медицинским/ADJ,учреждением/NOUN
полнометражный/ADJ,документальный/ADJ,фильм/NOUN
уникальном/ADJ,совместном/ADJ,проекте/NOUN
Всесоюзного/ADJ,энтомологического/ADJ,общества/NOUN
российско-украинской/ADJ,рабочей/ADJ,комиссии/NOUN
Великой/ADJ,Отечественной/ADJ,войны/NOUN
Болгарская/ADJ,социалистическая/ADJ,партия/NOUN
годовых/ADJ,заработных/ADJ,платы/NOUN
Средний/ADJ,абсолютный/ADJ,размер/NOUN
французской/ADJ,судоходной/ADJ,компании/NOUN
морских/ADJ,пассажирских/ADJ,перевозках/NOUN
испанских/ADJ,конных/ADJ,пастухов/NOUN
надежные/ADJ,готовые/ADJ,решения/NOUN
равные/ADJ,юридические/ADJ,права/NOUN
никодимовским/ADJ,молитвенным/ADJ,настроем/NOUN
мужском/ADJ,одиночном/ADJ,катании/NOUN
активной/ADJ,политической/ADJ,жизни/NOUN
левой/ADJ,революционной/ADJ,фразе/NOUN
полный/ADJ,рабочий/ADJ,день/NOUN
неполный/ADJ,рабочий/ADJ,день/NOUN
национальных/ADJ,сборных/ADJ,команд/NOUN
Основная/ADJ,водная/ADJ,артерия/NOUN
20-го/ADJ,фортепианного/ADJ,концерта/NOUN
Берлинским/ADJ,филармоническим/ADJ,оркестром/NOUN
классических/ADJ,польских/ADJ,гербовниках/NOUN
Польские/ADJ,дворянские/ADJ,гербы/NOUN
традиционном/ADJ,пасхальном/ADJ,катании/NOUN
местную/ADJ,национальную/ADJ,сборную/NOUN
12,7-мм/ADJ,пристрелочный/ADJ,пулемет/NOUN
первого/ADJ,экранного/ADJ,поцелуя/NOUN
специального/ADJ,административного/ADJ,района/NOUN
Оренбургско-ташкенсткой/ADJ,железной/ADJ,дороги/NOUN
крупной/ADJ,внешнеполитической/ADJ,ошибкой/NOUN
Никулинскому/ADJ,сельскому/ADJ,поселению/NOUN
других/ADJ,эфирных/ADJ,маслах/NOUN
современных/ADJ,бумагоделательных/ADJ,машин/NOUN
древних/ADJ,синтетических/ADJ,форм/NOUN
смешанном/ADJ,парном/ADJ,разряде/NOUN
военно-воздушной/ADJ,инженерной/ADJ,академии/NOUN
Янгличского/ADJ,сельского/ADJ,поселения/NOUN
Международного/ADJ,общественного/ADJ,Движения/NOUN
Второго/ADJ,скрипичного/ADJ,концерта/NOUN
Петербургское/ADJ,коммерческое/ADJ,училище/NOUN
36-километровая/ADJ,пешеходная/ADJ,дорога/NOUN
Хорватским/ADJ,демократическим/ADJ,содружеством/NOUN
последних/ADJ,парламентских/ADJ,выборах/NOUN
отдельную/ADJ,гоночную/ADJ,серию/NOUN
собственные/ADJ,информационно-развлекательные/ADJ,программы/NOUN
итоговом/ADJ,общем/ADJ,зачёте/NOUN
Прикарпатском/ADJ,военном/ADJ,округе/NOUN
венетской/ADJ,лингвистической/ADJ,области/NOUN
североадриатической/ADJ,лингвистической/ADJ,области/NOUN
Макарьевская/ADJ,Хергозерская/ADJ,пустынь/NOUN
недействующий/ADJ,православный/ADJ,монастырь/NOUN
листопадное/ADJ,раскидистое/ADJ,дерево/NOUN
Специализированной/ADJ,детско-юношеской/ADJ,школы/NOUN
других/ADJ,государственных/ADJ,учреждениях/NOUN
главной/ADJ,кинематографической/ADJ,премии/NOUN
лучшее/ADJ,закадровое/ADJ,исполнение/NOUN
Британской/ADJ,Ост-Индской/ADJ,компании/NOUN
Второй/ADJ,мировой/ADJ,войне/NOUN
кобдоского/ADJ,военного/ADJ,суда/NOUN
советский/ADJ,военный/ADJ,инструктор/NOUN
Второй/ADJ,мировой/ADJ,войны/NOUN
высшей/ADJ,международной/ADJ,наградой/NOUN
юго-западной/ADJ,корейской/ADJ,провинции/NOUN
ощутимый/ADJ,политический/ADJ,отпор/NOUN
Второй/ADJ,англо-голландской/ADJ,войны/NOUN
Революционной/ADJ,повстанческой/ADJ,армии/NOUN
местными/ADJ,коммунистическими/ADJ,силами/NOUN
Эстляндской/ADJ,евангелическо-лютеранской/ADJ,консистории/NOUN
Подмосковного/ADJ,каменноугольного/ADJ,бассейна/NOUN
известного/ADJ,русского/ADJ,поэта/NOUN
Славяносербской/ADJ,земской/ADJ,управы/NOUN
эффектных/ADJ,пышногрудых/ADJ,блондинок/NOUN
серьёзных/ADJ,драматических/ADJ,ролей/NOUN
Урало-Илецкой/ADJ,железной/ADJ,дороги/NOUN
Рязано-Уральской/ADJ,железной/ADJ,дороги/NOUN
Ведущим/ADJ,макроморфологическим/ADJ,критерием/NOUN
главного/ADJ,монастырского/ADJ,храма/NOUN
новый/ADJ,кафедральный/ADJ,собор/NOUN
Высшую/ADJ,партийную/ADJ,школу/NOUN
родном/ADJ,талышском/ADJ,языке/NOUN
российской/ADJ,рабочей/ADJ,группы/NOUN
различных/ADJ,военных/ADJ,манёвров/NOUN
других/ADJ,славянских/ADJ,языках/NOUN
Королевской/ADJ,Африканской/ADJ,Компании/NOUN
одноэтажную/ADJ,деревянную/ADJ,постройку/NOUN
Дальневосточный/ADJ,государственный/ADJ,Институт/NOUN
Глубокий/ADJ,философский/ADJ,анализ/NOUN
Многие/ADJ,социалистические/ADJ,страны/NOUN
традиционной/ADJ,китайской/ADJ,мысли/NOUN
Московский/ADJ,инженерно-физический/ADJ,институт/NOUN
Орбитальная/ADJ,научная/ADJ,корпорация/NOUN
первым/ADJ,учебным/ADJ,заведением/NOUN
Московская/ADJ,военная/ADJ,прогимназия/NOUN
полная/ADJ,преемственная/ADJ,связь/NOUN
Московской/ADJ,военной/ADJ,прогимназии/NOUN
высших/ADJ,должностных/ADJ,лиц/NOUN
высших/ADJ,должностных/ADJ,лиц/NOUN
Владимирский/ADJ,краеведческий/ADJ,музей/NOUN
неутомимого/ADJ,общественного/ADJ,деятеля/NOUN
оперативное/ADJ,войсковое/ADJ,объединение/NOUN
Закавказским/ADJ,военным/ADJ,округом/NOUN
Закавказского/ADJ,военного/ADJ,округа/NOUN
28-го/ADJ,механизированного/ADJ,корпуса/NOUN
Ранние/ADJ,компьютерные/ADJ,шины/NOUN
Нового/ADJ,общего/ADJ,каталога/NOUN
Курском/ADJ,музыкальном/ADJ,училище/NOUN
Московского/ADJ,филармонического/ADJ,общества/NOUN
лучших/ADJ,русских/ADJ,гравёров/NOUN
первых/ADJ,печатных/ADJ,книг/NOUN
высокой/ADJ,мансардной/ADJ,крышей/NOUN
масштабные/ADJ,реставрационные/ADJ,работы/NOUN
целому/ADJ,польском/ADJ,королевству/NOUN
разные/ADJ,шёлковые/ADJ,ткани/NOUN
собственные/ADJ,оригинальные/ADJ,методы/NOUN
сильный/ADJ,опорный/ADJ,пункт/NOUN
Саратовском/ADJ,областном/ADJ,училище/NOUN
международным/ADJ,техническим/ADJ,условиям/NOUN
различным/ADJ,экзогенным/ADJ,аллергенам/NOUN
Четвёртом/ADJ,Всероссийском/ADJ,съезде/NOUN
малых/ADJ,революционных/ADJ,групп/NOUN
азербайджанском/ADJ,литературном/ADJ,языке/NOUN
Утрехтским/ADJ,мирным/ADJ,договором/NOUN
великого/ADJ,князя/NOUN,московского/ADJ
стабильный/ADJ,восточный/ADJ,ветер/NOUN
Амурскую/ADJ,Золотопоисковую/ADJ,партию/NOUN
военного/ADJ,профессионального/ADJ,образования/NOUN
сомнительной/ADJ,телевизионной/ADJ,рекламе/NOUN
прадавним/ADJ,сельским/ADJ,поверьем/NOUN
самой/ADJ,южной/ADJ,точкой/NOUN
Киевское/ADJ,суворовское/ADJ,училище/NOUN
Второй/ADJ,мировой/ADJ,войны/NOUN
Великой/ADJ,Отечественной/ADJ,войны/NOUN
украинский/ADJ,политический/ADJ,деятель/NOUN
традиционное/ADJ,внутреннее/ADJ,единство/NOUN
Второй/ADJ,мировой/ADJ,войны/NOUN
Компактная/ADJ,костная/ADJ,ткань/NOUN
Петербургским/ADJ,Трамвайно-Механическим/ADJ,заводом/NOUN
латышских/ADJ,стрелковых/ADJ,полков/NOUN
древних/ADJ,инкских/ADJ,верованиях/NOUN
высокопоставленного/ADJ,вьетнамского/ADJ,перебежчика/NOUN
российская/ADJ,общественная/ADJ,организация/NOUN
богатый/ADJ,португальский/ADJ,купец/NOUN
писаря/NOUN,польного/ADJ,литовского/ADJ
первую/ADJ,искусственную/ADJ,соломинку/NOUN
данного/ADJ,архитектурного/ADJ,сооружения/NOUN
вьетнамский/ADJ,футбольный/ADJ,клуб/NOUN
единственный/ADJ,нормативный/ADJ,акт/NOUN
двухэтажное/ADJ,ведомственное/ADJ,общежитие/NOUN
первом/ADJ,квалификационном/ADJ,раунде/NOUN
позднего/ADJ,ледникового/ADJ,периода/NOUN
1-ю/ADJ,резервную/ADJ,армию/NOUN
следующее/ADJ,смысловое/ADJ,значение/NOUN
испанский/ADJ,профессиональный/ADJ,теннисист/NOUN
ударных/ADJ,атомных/ADJ,авианосцев/NOUN
Муромцевского/ADJ,сельского/ADJ,поселения/NOUN
основных/ADJ,лесных/ADJ,богатств/NOUN
I/ADJ,Кубанском/ADJ,съезде/NOUN
японское/ADJ,морское/ADJ,орудие/NOUN
осколочно-фугасная/ADJ,боевая/ADJ,часть/NOUN
новых/ADJ,технологических/ADJ,решений/NOUN
совокупной/ADJ,рыночной/ADJ,капитализации/NOUN
развитой/ADJ,индустриальной/ADJ,страны/NOUN
199-я/ADJ,стрелковая/ADJ,дивизия/NOUN
Кавказского/ADJ,горного/ADJ,хребта/NOUN
характерную/ADJ,фиолетовую/ADJ,окраску/NOUN
талые/ADJ,снеговые/ADJ,воды/NOUN
свободных/ADJ,земельных/ADJ,фондах/NOUN
разные/ADJ,юношеские/ADJ,сборные/NOUN
Московской/ADJ,железной/ADJ,дороги/NOUN
Ближайшая/ADJ,железнодорожная/ADJ,станция/NOUN
обширные/ADJ,внутренние/ADJ,помещения/NOUN
научно-популярного/ADJ,телевизионного/ADJ,кино/NOUN
