भारी/ADJ,अंतर्राष्ट्रीय/ADJ,ऋण/NOUN
बाकी/ADJ,आरोपी/ADJ,सांसदों/NOUN
पांचवा/ADJ,चश्मदीद/ADJ,गवाह/NOUN
दूसरी/ADJ,जरूरी/ADJ,चीजें/NOUN
चौथा/ADJ,पूर्व/ADJ,आंकलन/NOUN
अन्य/ADJ,पिछड़े/ADJ,वर्ग/NOUN
समकक्ष/ADJ,अमेरिकी/ADJ,अधिकारियों/NOUN
अन्य/ADJ,प्रमुख/ADJ,शहरों/NOUN
अन्य/ADJ,क्यूबेक/ADJ,पत्रकारों/NOUN
जारी/ADJ,विधायी/ADJ,निर्बलता/NOUN
नये/ADJ,वित्तीय/ADJ,बोझ/NOUN
अन्य/ADJ,राष्ट्रीय/ADJ,बचत/NOUN
मनोरंजक/ADJ,पारिवारिक/ADJ,ड्रामा/NOUN
नया/ADJ,आसान/ADJ,निशाना/NOUN
अमेरिकी/ADJ,सुप्रीम/ADJ,कोर्ट/NOUN
जबर्द्स्त/ADJ,आर्थिक/ADJ,विकास/NOUN
आधुनिक/ADJ,ऊंचे/ADJ,भवनों/NOUN
सीमित/ADJ,फ्रांसीसी/ADJ,सुरक्षा/NOUN
अफ्रीकी/ADJ,पारम्परिक/ADJ,धर्म/NOUN
अन्य/ADJ,समुद्री/ADJ,भोजन/NOUN
व्यापक/ADJ,तटीय/ADJ,क्षेत्रों/NOUN
शास्त्रीय/ADJ,प्राचीन/ADJ,काल/NOUN
पूरी/ADJ,डेनिश/ADJ,सेना/NOUN
अन्य/ADJ,सैन्य/ADJ,हार्डवेयर/NOUN
प्रमुख/ADJ,यूरोपीय/ADJ,नदियां/NOUN
औसत/ADJ,उच्च/ADJ,तापमान/NOUN
आस्ट्रेलियाई/ADJ,मूल/ADJ,निवासियों/NOUN
विभिन्न/ADJ,यूरोपीय/ADJ,भाषाओं/NOUN
आम/ADJ,वैकल्पिक/ADJ,नाम/NOUN
स्पेनी/ADJ,प्रभुत्व/NOUN,निर्विवाद/ADJ
बड़ी/ADJ,सामरिक/ADJ,गलती/NOUN
असाधारण/ADJ,लीप/ADJ,माह/NOUN
अयोग्य/ADJ,चीनी/ADJ,राजदूतों/NOUN
मध्य/ADJ,कांस्य/ADJ,युग/NOUN
थाई/ADJ,शुभ/ADJ,रंग/NOUN
पवित्र/ADJ,रोमन/ADJ,सम्राट/NOUN
बड़ी/ADJ,मकदूनियाई/ADJ,सेना/NOUN
शामिल/ADJ,स्कूली/ADJ,बच्चों/NOUN
जबर्दस्त/ADJ,आर्थिक/ADJ,विकास/NOUN
लाभदायक/ADJ,व्यापारिक/ADJ,मार्ग/NOUN
द्वितीय/ADJ,मेसेनियाई/ADJ,युद्ध/NOUN
ब्रिटिश/ADJ,घुड़सवार/ADJ,सैनिकों/NOUN
पहले/ADJ,युगान्तरकारी/ADJ,धावे/NOUN
उच्च/ADJ,कोणीय/ADJ,समाधान/NOUN
पुराने/ADJ,अप्रशिक्षिति/ADJ,पायलटों/NOUN
नये/ADJ,देशी/ADJ,क्वार्टर/NOUN
अन्य/ADJ,जर्मन/ADJ,अधिकारियों/NOUN
सुडेटन/ADJ,जर्मन/ADJ,किसानों/NOUN
शीर्ष/ADJ,वरीयता/NOUN,प्राप्त/ADJ
निहित/ADJ,अस्पष्ट/ADJ,मानवतावाद/NOUN
डरावना/ADJ,वाद्य/ADJ,यंत्र/NOUN
अनुकरणीय/ADJ,मूक/ADJ,तरीके/NOUN
गहरी/ADJ,धार्मिक/ADJ,मान्यता/NOUN
राष्ट्रीय/ADJ,प्राकृतिक/ADJ,विरासत/NOUN
फ्रांसीसी/ADJ,सैन्य/ADJ,टुकड़ी/NOUN
फ्रांसीसी/ADJ,डिजिटल/ADJ,परिषद/NOUN
उग्रवादी/ADJ,समाजवादी/ADJ,पिता/NOUN
प्रदर्शित/ADJ,पूर्ण/ADJ,बंदी/NOUN
चौथी/ADJ,अमेरिकी/ADJ,कंपनी/NOUN
लैटिन/ADJ,अमेरिकी/ADJ,लोग/NOUN
पुरानी/ADJ,औपनिवेशिक/ADJ,शक्तियों/NOUN
दूसरा/ADJ,स्वर्ण/ADJ,पदक/NOUN
अमेरिकी/ADJ,मैत्री/ADJ,पदक/NOUN
सामाजिक/ADJ,आवासीय/ADJ,व्यवस्था/NOUN
पर्याप्त/ADJ,बड़े/ADJ,आकार/NOUN
विभिन्न/ADJ,सिनेमाई/ADJ,उपलब्धियों/NOUN
बाकी/ADJ,राजनैतिक/ADJ,कैदियों/NOUN
आरम्भिक/ADJ,आधुनिक/ADJ,युग/NOUN
