lemma,cl
attribution/NOUN,496
attrition/NOUN,497
auction/NOUN,498
audacity/NOUN,499
audience/NOUN,500
audio/NOUN,501
audiobook/NOUN,502
audit/NOUN,503
auditor/NOUN,504
aunt/NOUN,505
aura/NOUN,506
auspices/NOUN,507
austrian/NOUN,508
authentication/NOUN,509
authenticity/NOUN,510
author/NOUN,511
authority/NOUN,512
authorization/NOUN,513
authorship/NOUN,514
autism/NOUN,515
auto/NOUN,516
autobiography/NOUN,517
autograph/NOUN,518
automobile/NOUN,519
autonomy/NOUN,520
autumn/NOUN,521
avail/NOUN,522
availability/NOUN,523
avalanche/NOUN,524
avant/NOUN,525
avenger/NOUN,526
avenue/NOUN,527
average/NOUN,528
averaging/NOUN,529
aversion/NOUN,530
aviation/NOUN,531
avocado/NOUN,532
avoidance/NOUN,533
awakening/NOUN,534
award/NOUN,535
awareness/NOUN,536
away/NOUN,537
awkwardness/NOUN,538
axe/NOUN,539
axis/NOUN,540
b/NOUN,541
baba/NOUN,542
baby/NOUN,543
bac/NOUN,544
bachelor/NOUN,545
back/NOUN,546
backbone/NOUN,547
backdoor/NOUN,548
backdrop/NOUN,549
background/NOUN,550
backpack/NOUN,551
backside/NOUN,552
backstop/NOUN,553
backup/NOUN,554
backyard/NOUN,555
bacon/NOUN,556
bacteria/NOUN,557
bacteriologist/NOUN,558
bad/NOUN,559
badge/NOUN,560
badger/NOUN,561
bag/NOUN,562
baggage/NOUN,563
bail/NOUN,564
bailout/NOUN,565
bait/NOUN,566
baiting/NOUN,567
baja/NOUN,568
baker/NOUN,569
bakery/NOUN,570
baking/NOUN,571
balance/NOUN,572
balancing/NOUN,573
balcony/NOUN,574
baldness/NOUN,575
ball/NOUN,576
ballad/NOUN,577
ballast/NOUN,578
ballerina/NOUN,579
ballet/NOUN,580
balloon/NOUN,581
ballot/NOUN,582
balloting/NOUN,583
ballpoint/NOUN,584
ballroom/NOUN,585
balm/NOUN,586
balsa/NOUN,587
ban/NOUN,588
banana/NOUN,589
band/NOUN,590
bandwidth/NOUN,591
bang/NOUN,592
bank/NOUN,593
banker/NOUN,594
banking/NOUN,595
banknote/NOUN,596
bankruptcy/NOUN,597
banner/NOUN,598
banquet/NOUN,599
banshee/NOUN,600
baptism/NOUN,601
bar/NOUN,602
barbecue/NOUN,603
barber/NOUN,604
barcode/NOUN,605
bard/NOUN,606
bargain/NOUN,607
barge/NOUN,608
bark/NOUN,609
barley/NOUN,610
barn/NOUN,611
barometer/NOUN,612
baron/NOUN,613
barrack/NOUN,614
barrage/NOUN,615
barrel/NOUN,616
barrenness/NOUN,617
barrier/NOUN,618
bartender/NOUN,619
basalt/NOUN,620
base/NOUN,621
baseball/NOUN,622
baseline/NOUN,623
baseman/NOUN,624
basement/NOUN,625
basher/NOUN,626
basic/NOUN,627
basil/NOUN,628
basin/NOUN,629
basis/NOUN,630
basket/NOUN,631
basketball/NOUN,632
bass/NOUN,633
bastard/NOUN,634
bat/NOUN,635
batch/NOUN,636
bath/NOUN,637
bathing/NOUN,638
bathroom/NOUN,639
bathtub/NOUN,640
batter/NOUN,641
battery/NOUN,642
batting/NOUN,643
battle/NOUN,644
battlefield/NOUN,645
battleship/NOUN,646
bay/NOUN,647
bazaar/NOUN,648
bbq/NOUN,649
bc/NOUN,650
bce/NOUN,651
bdsm/NOUN,652
be/NOUN,653
beach/NOUN,654
bead/NOUN,655
beadwork/NOUN,656
beak/NOUN,657
beam/NOUN,658
bean/NOUN,659
bear/NOUN,660
beard/NOUN,661
bearer/NOUN,662
bearing/NOUN,663
beast/NOUN,664
beat/NOUN,665
beater/NOUN,666
beating/NOUN,667
beauty/NOUN,668
beaver/NOUN,669
bed/NOUN,670
bedding/NOUN,671
bedroom/NOUN,672
bee/NOUN,673
beef/NOUN,674
beer/NOUN,675
beetle/NOUN,676
begin/NOUN,677
beginner/NOUN,678
beginning/NOUN,679
behalf/NOUN,680
behavior/NOUN,681
behaviour/NOUN,682
beheading/NOUN,683
being/NOUN,684
belief/NOUN,685
believer/NOUN,686
bell/NOUN,687
bellow/NOUN,688
belly/NOUN,689
belonging/NOUN,690
belt/NOUN,691
bench/NOUN,692
bend/NOUN,693
benedict/NOUN,694
benefactor/NOUN,695
beneficiary/NOUN,696
benefit/NOUN,697
bequest/NOUN,698
berry/NOUN,699
berth/NOUN,700
best/NOUN,701
bestiality/NOUN,702
bestseller/NOUN,703
bet/NOUN,704
beta/NOUN,705
beverage/NOUN,706
bf/NOUN,707
bias/NOUN,708
bib/NOUN,709
bible/NOUN,710
bicycle/NOUN,711
bid/NOUN,712
bidder/NOUN,713
bidding/NOUN,714
bight/NOUN,715
bike/NOUN,716
biker/NOUN,717
bile/NOUN,718
bill/NOUN,719
billboard/NOUN,720
billiard/NOUN,721
billiards/NOUN,722
billing/NOUN,723
billion/NOUN,724
binary/NOUN,725
bind/NOUN,726
binding/NOUN,727
bio/NOUN,728
biochemist/NOUN,729
biodiversity/NOUN,730
biographer/NOUN,731
biography/NOUN,732
biologist/NOUN,733
biology/NOUN,734
biosphere/NOUN,735
bird/NOUN,736
birdie/NOUN,737
birth/NOUN,738
birthdate/NOUN,739
birthday/NOUN,740
birthplace/NOUN,741
birthright/NOUN,742
biscuit/NOUN,743
bit/NOUN,744
bite/NOUN,745
biting/NOUN,746
bitmap/NOUN,747
bitter/NOUN,748
bitterness/NOUN,749
black/NOUN,750
blackmail/NOUN,751
blackness/NOUN,752
blackout/NOUN,753
blacksmithing/NOUN,754
bladder/NOUN,755
blade/NOUN,756
blame/NOUN,757
blank/NOUN,758
blanket/NOUN,759
blasphemy/NOUN,760
blast/NOUN,761
blasting/NOUN,762
blaze/NOUN,763
bleach/NOUN,764
bleacher/NOUN,765
blend/NOUN,766
blender/NOUN,767
blessing/NOUN,768
bleu/NOUN,769
blind/NOUN,770
blinder/NOUN,771
blinding/NOUN,772
blindness/NOUN,773
blip/NOUN,774
bliss/NOUN,775
blob/NOUN,776
bloc/NOUN,777
block/NOUN,778
blockage/NOUN,779
blocker/NOUN,780
blog/NOUN,781
blogger/NOUN,782
bloke/NOUN,783
blonde/NOUN,784
blood/NOUN,785
blossom/NOUN,786
blossoming/NOUN,787
blouse/NOUN,788
blow/NOUN,789
blower/NOUN,790
blowout/NOUN,791
blue/NOUN,792
bluegrass/NOUN,793
blueprint/NOUN,794
blues/NOUN,795
bluff/NOUN,796
blunder/NOUN,797
blur/NOUN,798
blush/NOUN,799
board/NOUN,800
boarder/NOUN,801
boarding/NOUN,802
boast/NOUN,803
boat/NOUN,804
bodice/NOUN,805
body/NOUN,806
bodybuilding/NOUN,807
bodyguard/NOUN,808
bog/NOUN,809
boil/NOUN,810
boiler/NOUN,811
bolt/NOUN,812
bomb/NOUN,813
bomber/NOUN,814
bombing/NOUN,815
bombs/NOUN,816
bond/NOUN,817
bonding/NOUN,818
bone/NOUN,819
bonus/NOUN,820
book/NOUN,821
booking/NOUN,822
bookkeeping/NOUN,823
bookshop/NOUN,824
bookstore/NOUN,825
boom/NOUN,826
boost/NOUN,827
booster/NOUN,828
boot/NOUN,829
booth/NOUN,830
border/NOUN,831
bore/NOUN,832
boredom/NOUN,833
boring/NOUN,834
borough/NOUN,835
borrowing/NOUN,836
bosom/NOUN,837
boss/NOUN,838
botany/NOUN,839
bottle/NOUN,840
bottleneck/NOUN,841
bottling/NOUN,842
bottom/NOUN,843
boulevard/NOUN,844
bounce/NOUN,845
bound/NOUN,846
boundary/NOUN,847
bourbon/NOUN,848
bout/NOUN,849
boutique/NOUN,850
bow/NOUN,851
bowel/NOUN,852
bowl/NOUN,853
box/NOUN,854
boxer/NOUN,855
boxing/NOUN,856
boxwood/NOUN,857
boy/NOUN,858
boycott/NOUN,859
boyfriend/NOUN,860
boyhood/NOUN,861
bozo/NOUN,862
bpd/NOUN,863
brain/NOUN,864
brainwashing/NOUN,865
brake/NOUN,866
branch/NOUN,867
brand/NOUN,868
brandy/NOUN,869
bras/NOUN,870
brass/NOUN,871
brat/NOUN,872
bravery/NOUN,873
breach/NOUN,874
bread/NOUN,875
breadth/NOUN,876
break/NOUN,877
breakaway/NOUN,878
breakdown/NOUN,879
breakfast/NOUN,880
breaking/NOUN,881
breakthrough/NOUN,882
breakup/NOUN,883
breast/NOUN,884
breastbone/NOUN,885
breath/NOUN,886
breathing/NOUN,887
breed/NOUN,888
breeder/NOUN,889
breeding/NOUN,890
breeze/NOUN,891
brevet/NOUN,892
brewery/NOUN,893
brick/NOUN,894
bride/NOUN,895
bridge/NOUN,896
bridle/NOUN,897
brief/NOUN,898
briefcase/NOUN,899
briefing/NOUN,900
brigade/NOUN,901
brigadier/NOUN,902
brightness/NOUN,903
brilliance/NOUN,904
brim/NOUN,905
brink/NOUN,906
british/NOUN,907
bro/NOUN,908
broadband/NOUN,909
broadcast/NOUN,910
broadcaster/NOUN,911
broadcasting/NOUN,912
brocade/NOUN,913
broccoli/NOUN,914
brochure/NOUN,915
broker/NOUN,916
brokerage/NOUN,917
bronze/NOUN,918
broom/NOUN,919
broth/NOUN,920
brothel/NOUN,921
brother/NOUN,922
brotherhood/NOUN,923
brow/NOUN,924
brown/NOUN,925
browser/NOUN,926
browsing/NOUN,927
bruise/NOUN,928
brunt/NOUN,929
brush/NOUN,930
brute/NOUN,931
bs/NOUN,932
bubble/NOUN,933
buck/NOUN,934
bucket/NOUN,935
bud/NOUN,936
buddy/NOUN,937
budget/NOUN,938
buff/NOUN,939
buffalo/NOUN,940
buffer/NOUN,941
buffet/NOUN,942
buffeting/NOUN,943
bug/NOUN,944
build/NOUN,945
builder/NOUN,946
building/NOUN,947
buildup/NOUN,948
bulb/NOUN,949
bulk/NOUN,950
bull/NOUN,951
bulldog/NOUN,952
bullet/NOUN,953
bulletin/NOUN,954
bullpen/NOUN,955
bullseye/NOUN,956
bullshit/NOUN,957
bully/NOUN,958
bullying/NOUN,959
bulwark/NOUN,960
bump/NOUN,961
bumper/NOUN,962
bun/NOUN,963
bunch/NOUN,964
bundle/NOUN,965
bungling/NOUN,966
burden/NOUN,967
bureau/NOUN,968
bureaucracy/NOUN,969
bureaucrat/NOUN,970
burger/NOUN,971
burgess/NOUN,972
burial/NOUN,973
burn/NOUN,974
burner/NOUN,975
burning/NOUN,976
burrito/NOUN,977
burrow/NOUN,978
burst/NOUN,979
bus/NOUN,980
bush/NOUN,981
business/NOUN,982
businessman/NOUN,983
businesspeople/NOUN,984
businessperson/NOUN,985
bust/NOUN,986
buster/NOUN,987
butt/NOUN,988
butter/NOUN,989
butterfly/NOUN,990
button/NOUN,991
buttress/NOUN,992
buy/NOUN,993
buyer/NOUN,994
buying/NOUN,995
buzz/NOUN,996
buzzer/NOUN,997
buzzing/NOUN,998
buzzword/NOUN,999
bypass/NOUN,1000
byproduct/NOUN,1001
bystander/NOUN,1002
c/NOUN,1003
c./NOUN,1004
ca/NOUN,1005
cab/NOUN,1006
cabbage/NOUN,1007
cabin/NOUN,1008
cabinet/NOUN,1009
cable/NOUN,1010
cache/NOUN,1011
cactus/NOUN,1012
cadmium/NOUN,1013
cadre/NOUN,1014
cafe/NOUN,1015
cafeteria/NOUN,1016
caffeine/NOUN,1017
cage/NOUN,1018
cake/NOUN,1019
calamity/NOUN,1020
calcium/NOUN,1021
calculation/NOUN,1022
calculus/NOUN,1023
calendar/NOUN,1024
calf/NOUN,1025
calibration/NOUN,1026
calico/NOUN,1027
caliper/NOUN,1028
call/NOUN,1029
calligraphy/NOUN,1030
calling/NOUN,1031
calm/NOUN,1032
calmness/NOUN,1033
camel/NOUN,1034
cameo/NOUN,1035
camera/NOUN,1036
camp/NOUN,1037
campaign/NOUN,1038
campaigner/NOUN,1039
campaigning/NOUN,1040
camper/NOUN,1041
campsite/NOUN,1042
campus/NOUN,1043
can/NOUN,1044
canal/NOUN,1045
cancellation/NOUN,1046
cancer/NOUN,1047
candidacy/NOUN,1048
candidate/NOUN,1049
candidature/NOUN,1050
candle/NOUN,1051
candy/NOUN,1052
cane/NOUN,1053
canister/NOUN,1054
cannibal/NOUN,1055
cannon/NOUN,1056
canoe/NOUN,1057
canon/NOUN,1058
canopy/NOUN,1059
canteen/NOUN,1060
canton/NOUN,1061
cap/NOUN,1062
capability/NOUN,1063
capacity/NOUN,1064
cape/NOUN,1065
capelin/NOUN,1066
caper/NOUN,1067
capita/NOUN,1068
capital/NOUN,1069
capitalisation/NOUN,1070
capitalism/NOUN,1071
capsule/NOUN,1072
captain/NOUN,1073
caption/NOUN,1074
capture/NOUN,1075
car/NOUN,1076
caravan/NOUN,1077
carbon/NOUN,1078
carbonate/NOUN,1079
carbonyl/NOUN,1080
carburetor/NOUN,1081
carcass/NOUN,1082
carcinoma/NOUN,1083
card/NOUN,1084
cardboard/NOUN,1085
cardholder/NOUN,1086
care/NOUN,1087
career/NOUN,1088
caregiver/NOUN,1089
caretaker/NOUN,1090
cargo/NOUN,1091
caricature/NOUN,1092
caring/NOUN,1093
carnation/NOUN,1094
carnival/NOUN,1095
carotid/NOUN,1096
carousel/NOUN,1097
carpenter/NOUN,1098
carpet/NOUN,1099
carriage/NOUN,1100
carrier/NOUN,1101
carrot/NOUN,1102
cart/NOUN,1103
carton/NOUN,1104
cartoon/NOUN,1105
cartoonist/NOUN,1106
carving/NOUN,1107
cascade/NOUN,1108
case/NOUN,1109
cash/NOUN,1110
cashier/NOUN,1111
casino/NOUN,1112
cassette/NOUN,1113
cassock/NOUN,1114
cast/NOUN,1115
casting/NOUN,1116
castle/NOUN,1117
casual/NOUN,1118
casualty/NOUN,1119
cat/NOUN,1120
catacomb/NOUN,1121
catalog/NOUN,1122
catalogue/NOUN,1123
catapult/NOUN,1124
catastrophe/NOUN,1125
catch/NOUN,1126
catcher/NOUN,1127
categorization/NOUN,1128
category/NOUN,1129
cater/NOUN,1130
caterer/NOUN,1131
catfish/NOUN,1132
cathedral/NOUN,1133
catholic/NOUN,1134
catholicism/NOUN,1135
cattle/NOUN,1136
cauldron/NOUN,1137
cauliflower/NOUN,1138
causality/NOUN,1139
cause/NOUN,1140
caution/NOUN,1141
cavalry/NOUN,1142
cave/NOUN,1143
caveat/NOUN,1144
cavern/NOUN,1145
cavity/NOUN,1146
cc/NOUN,1147
cd/NOUN,1148
cease/NOUN,1149
ceasefire/NOUN,1150
ceiling/NOUN,1151
celebration/NOUN,1152
celebrity/NOUN,1153
celery/NOUN,1154
cell/NOUN,1155
cellist/NOUN,1156
cello/NOUN,1157
cellphone/NOUN,1158
cement/NOUN,1159
cemetery/NOUN,1160
cenotaph/NOUN,1161
cenote/NOUN,1162
censorship/NOUN,1163
census/NOUN,1164
cent/NOUN,1165
center/NOUN,1166
centerpiece/NOUN,1167
centimetre/NOUN,1168
centrality/NOUN,1169
centre/NOUN,1170
centuries/NOUN,1171
century/NOUN,1172
ceo/NOUN,1173
cephalopod/NOUN,1174
cere/NOUN,1175
cereal/NOUN,1176
ceremony/NOUN,1177
certainty/NOUN,1178
certificate/NOUN,1179
certification/NOUN,1180
cfc/NOUN,1181
cfl/NOUN,1182
chagrin/NOUN,1183
chain/NOUN,1184
chair/NOUN,1185
chairman/NOUN,1186
chairmanship/NOUN,1187
chairperson/NOUN,1188
chalet/NOUN,1189
chalk/NOUN,1190
challenge/NOUN,1191
chamber/NOUN,1192
chambermaid/NOUN,1193
chameleon/NOUN,1194
champagne/NOUN,1195
champion/NOUN,1196
championship/NOUN,1197
chance/NOUN,1198
chancellor/NOUN,1199
chandelier/NOUN,1200
change/NOUN,1201
changeover/NOUN,1202
changing/NOUN,1203
channel/NOUN,1204
chant/NOUN,1205
chaos/NOUN,1206
chap/NOUN,1207
chapel/NOUN,1208
chaperone/NOUN,1209
chapter/NOUN,1210
character/NOUN,1211
characteristic/NOUN,1212
characteristics/NOUN,1213
characterization/NOUN,1214
charcoal/NOUN,1215
charge/NOUN,1216
charger/NOUN,1217
charity/NOUN,1218
charlatan/NOUN,1219
charle/NOUN,1220
charm/NOUN,1221
chart/NOUN,1222
charter/NOUN,1223
chase/NOUN,1224
chaser/NOUN,1225
chasm/NOUN,1226
chat/NOUN,1227
chatter/NOUN,1228
chauvinism/NOUN,1229
cheating/NOUN,1230
check/NOUN,1231
checklist/NOUN,1232
cheek/NOUN,1233
cheekbone/NOUN,1234
cheer/NOUN,1235
cheese/NOUN,1236
cheesecloth/NOUN,1237
chef/NOUN,1238
chemical/NOUN,1239
chemist/NOUN,1240
chemistry/NOUN,1241
cheque/NOUN,1242
cherry/NOUN,1243
chess/NOUN,1244
chessboard/NOUN,1245
chest/NOUN,1246
chick/NOUN,1247
chicken/NOUN,1248
chief/NOUN,1249
chiefs/NOUN,1250
child/NOUN,1251
childbearing/NOUN,1252
childbirth/NOUN,1253
childcare/NOUN,1254
childhood/NOUN,1255
chili/NOUN,1256
chill/NOUN,1257
chilly/NOUN,1258
chimney/NOUN,1259
chin/NOUN,1260
china/NOUN,1261
chink/NOUN,1262
chip/NOUN,1263
chiropractic/NOUN,1264
chivalry/NOUN,1265
chloride/NOUN,1266
